,D006262,D025241,accuracy,macro avg,weighted avg
precision,0.71,0.71,0.71,0.71,0.71
recall,0.57,0.81,0.71,0.69,0.71
f1-score,0.63,0.76,0.71,0.7,0.7
support,21.0,27.0,0.71,48.0,48.0
