"","Part","BalanceID","Component","Group","d.group"
"23","-1","341225__1735_33043","1735","341225__1735_33043-1","p__Terrabacteria group"
"34","-1","341225__1735_33043","33043","341225__1735_33043-1","p__Terrabacteria group"
"68","1","341225__1735_33043","341225","341225__1735_330431","p__Terrabacteria group"
"102","1","1735__33043","1735","1735__330431","p__Terrabacteria group"
"113","-1","1735__33043","33043","1735__33043-1","p__Terrabacteria group"
"222","1","301301__351091","301301","301301__3510911","p__Terrabacteria group"
"228","-1","301301__351091","351091","301301__351091-1","p__Terrabacteria group"
"258","-1","536633__1680_216816","1680","536633__1680_216816-1","p__Terrabacteria group"
"297","-1","536633__1680_216816","216816","536633__1680_216816-1","p__Terrabacteria group"
"313","1","536633__1680_216816","536633","536633__1680_2168161","p__Terrabacteria group"
"354","1","39491__39492","39491","39491__394921","p__Terrabacteria group"
"355","-1","39491__39492","39492","39491__39492-1","p__Terrabacteria group"
"397","1","562__40518_74426","562","562__40518_744261","p__Proteobacteria"
"436","-1","562__40518_74426","40518","562__40518_74426-1","p__Terrabacteria group"
"446","-1","562__40518_74426","74426","562__40518_74426-1","p__Terrabacteria group"
"484","-1","309120__1304_187327","1304","309120__1304_187327-1","p__Terrabacteria group"
"533","-1","309120__1304_187327","187327","309120__1304_187327-1","p__Terrabacteria group"
"539","1","309120__1304_187327","309120","309120__1304_1873271","p__Terrabacteria group"
"560","1","823__39485_165179","823","823__39485_1651791","p__FCB group"
"589","-1","823__39485_165179","39485","823__39485_165179-1","p__Terrabacteria group"
"610","-1","823__39485_165179","165179","823__39485_165179-1","p__FCB group"
"651","1","1624__310297","1624","1624__3102971","p__Terrabacteria group"
"698","-1","1624__310297","310297","1624__310297-1","p__FCB group"
"728","1","1604__47877","1604","1604__478771","p__Terrabacteria group"
"760","-1","1604__47877","47877","1604__47877-1","p__Proteobacteria"
"801","1","1363__633701","1363","1363__6337011","p__Terrabacteria group"
"868","-1","1363__633701","633701","1363__633701-1","p__FCB group"
"883","1","1515__33035","1515","1515__330351","p__Terrabacteria group"
"901","-1","1515__33035","33035","1515__33035-1","p__Terrabacteria group"
"960","1","1365__1547","1365","1365__15471","p__Terrabacteria group"
