,D006111,D006262,accuracy,macro avg,weighted avg
precision,0.89,0.88,0.88,0.88,0.88
recall,0.87,0.9,0.88,0.88,0.88
f1-score,0.88,0.89,0.88,0.88,0.88
support,39.0,39.0,0.88,78.0,78.0
