,D016918
351091__84026_392333,0.0067203678139381145
310298__33043_39492,0.02966190055608407
28111__1630_239935,-0.16018919125154074
40520__28125_218538,0.01717343330326429
84026__392333,-0.05786270316656101
44749__45851_349096,0.0
589436__907_1297750,0.0
1735__626937,-0.04622341614464722
328813__47678_410072,0.0
1630__239935,-0.13704655408714111
28129__820_46506,-0.19608417168054765
28125__218538,-0.014891555029149857
29466__1559_633701,0.0
1515__40518_454154,-0.04978478543812269
167__329854,0.039582876922869915
83771__158787,0.043590017094199185
1304__165179_179995,0.0
39029__1161942,-0.03206767326893832
169435__376804,0.0
39485__39778,-0.061514739766782824
905__39777,-0.022179527566329245
185294__729_28161,0.010441922876512591
33039__39488_228603,0.0
40518__454154,-0.20852936392271512
328814__817_2173,-0.11096610087983716
165179__179995,0.19525230314140568
907__1297750,-0.11316177377231622
1680__360807,0.0
562__228604,-0.005886014773756168
33043__39492,-0.020116248380303788
47678__410072,0.0
820__46506,0.1161029223719564
1535__357276_397865,0.0
45851__349096,0.1001579853096283
1559__633701,0.1533398628283656
387090__69825_387661,0.0
78448__46503_204516,-0.06443433486846159
39488__228603,-0.13606224940144593
729__28161,0.1695266415552534
817__2173,-0.11685201589652215
357276__397865,0.21433691839489755
84030__187327_371601,-0.052921377726322855
301301__308994,-0.2051947270315452
69825__387661,-0.20633414111758305
46503__204516,-0.377125306039746
187327__371601,-0.4426252041790459
487175__821_853,-0.02938803623027382
821__853,-0.4647825208864601
40519__1755626,0.8746809977057654
