"","Part","BalanceID","Component","Group","d.group"
"52","-1","351091__84026_392333","84026","351091__84026_392333-1","p__Terrabacteria group"
"75","1","351091__84026_392333","351091","351091__84026_3923331","p__Terrabacteria group"
"82","-1","351091__84026_392333","392333","351091__84026_392333-1","p__Proteobacteria"
"126","-1","310298__33043_39492","33043","310298__33043_39492-1","p__Terrabacteria group"
"130","-1","310298__33043_39492","39492","310298__33043_39492-1","p__Terrabacteria group"
"161","1","310298__33043_39492","310298","310298__33043_394921","p__FCB group"
"201","-1","28111__1630_239935","1630","28111__1630_239935-1","p__Terrabacteria group"
"207","1","28111__1630_239935","28111","28111__1630_2399351","p__FCB group"
"250","-1","28111__1630_239935","239935","28111__1630_239935-1","p__PVC group"
"302","-1","40520__28125_218538","28125","40520__28125_218538-1","p__FCB group"
"319","1","40520__28125_218538","40520","40520__28125_2185381","p__Terrabacteria group"
"339","-1","40520__28125_218538","218538","40520__28125_218538-1","p__Terrabacteria group"
"420","1","84026__392333","84026","84026__3923331","p__Terrabacteria group"
"450","-1","84026__392333","392333","84026__392333-1","p__Proteobacteria"
"504","1","44749__45851_349096","44749","44749__45851_3490961","p__Terrabacteria group"
"505","-1","44749__45851_349096","45851","44749__45851_349096-1","p__Terrabacteria group"
"534","-1","44749__45851_349096","349096","44749__45851_349096-1","p__Terrabacteria group"
"563","-1","589436__907_1297750","907","589436__907_1297750-1","p__Terrabacteria group"
"639","1","589436__907_1297750","589436","589436__907_12977501","p__FCB group"
"643","-1","589436__907_1297750","1297750","589436__907_1297750-1","p__FCB group"
"664","1","1735__626937","1735","1735__6269371","p__Terrabacteria group"
"732","-1","1735__626937","626937","1735__626937-1","p__Terrabacteria group"
"784","-1","328813__47678_410072","47678","328813__47678_410072-1","p__FCB group"
"807","1","328813__47678_410072","328813","328813__47678_4100721","p__FCB group"
"820","-1","328813__47678_410072","410072","328813__47678_410072-1","p__Terrabacteria group"
"845","1","1630__239935","1630","1630__2399351","p__Terrabacteria group"
"894","-1","1630__239935","239935","1630__239935-1","p__PVC group"
"926","-1","28129__820_46506","820","28129__820_46506-1","p__FCB group"
"947","1","28129__820_46506","28129","28129__820_465061","p__FCB group"
"967","-1","28129__820_46506","46506","28129__820_46506-1","p__FCB group"
"1038","1","28125__218538","28125","28125__2185381","p__FCB group"
"1075","-1","28125__218538","218538","28125__218538-1","p__Terrabacteria group"
"1120","-1","29466__1559_633701","1559","29466__1559_633701-1","p__Terrabacteria group"
"1136","1","29466__1559_633701","29466","29466__1559_6337011","p__Terrabacteria group"
"1193","-1","29466__1559_633701","633701","29466__1559_633701-1","p__FCB group"
"1210","1","1515__40518_454154","1515","1515__40518_4541541","p__Terrabacteria group"
"1237","-1","1515__40518_454154","40518","1515__40518_454154-1","p__Terrabacteria group"
"1281","-1","1515__40518_454154","454154","1515__40518_454154-1","p__FCB group"
"1289","1","167__329854","167","167__3298541","p__Spirochaetes"
"1361","-1","167__329854","329854","167__329854-1","p__FCB group"
"1431","1","83771__158787","83771","83771__1587871","p__Proteobacteria"
"1434","-1","83771__158787","158787","83771__158787-1","p__Terrabacteria group"
"1484","1","1304__165179_179995","1304","1304__165179_1799951","p__Terrabacteria group"
"1527","-1","1304__165179_179995","165179","1304__165179_179995-1","p__FCB group"
"1529","-1","1304__165179_179995","179995","1304__165179_179995-1","p__Proteobacteria"
"1599","1","39029__1161942","39029","39029__11619421","p__Terrabacteria group"
"1654","-1","39029__1161942","1161942","39029__1161942-1","p__Terrabacteria group"
"1712","1","169435__376804","169435","169435__3768041","p__Terrabacteria group"
"1735","-1","169435__376804","376804","169435__376804-1","p__FCB group"
"1784","1","39485__39778","39485","39485__397781","p__Terrabacteria group"
"1788","-1","39485__39778","39778","39485__39778-1","p__Terrabacteria group"
"1850","1","905__39777","905","905__397771","p__Terrabacteria group"
"1879","-1","905__39777","39777","905__39777-1","p__Terrabacteria group"
"1935","-1","185294__729_28161","729","185294__729_28161-1","p__Proteobacteria"
"1962","-1","185294__729_28161","28161","185294__729_28161-1","p__Proteobacteria"
"1990","1","185294__729_28161","185294","185294__729_281611","p__FCB group"
"2057","1","33039__39488_228603","33039","33039__39488_2286031","p__Terrabacteria group"
"2061","-1","33039__39488_228603","39488","33039__39488_228603-1","p__Terrabacteria group"
"2088","-1","33039__39488_228603","228603","33039__39488_228603-1","p__FCB group"
"2157","1","40518__454154","40518","40518__4541541","p__Terrabacteria group"
"2201","-1","40518__454154","454154","40518__454154-1","p__FCB group"
"2212","-1","328814__817_2173","817","328814__817_2173-1","p__FCB group"
"2229","-1","328814__817_2173","2173","328814__817_2173-1","p__Euryarchaeota"
"2280","1","328814__817_2173","328814","328814__817_21731","p__FCB group"
"2355","1","165179__179995","165179","165179__1799951","p__FCB group"
"2357","-1","165179__179995","179995","165179__179995-1","p__Proteobacteria"
"2403","1","907__1297750","907","907__12977501","p__Terrabacteria group"
"2483","-1","907__1297750","1297750","907__1297750-1","p__FCB group"
"2502","1","1680__360807","1680","1680__3608071","p__Terrabacteria group"
"2561","-1","1680__360807","360807","1680__360807-1","p__Terrabacteria group"
"2578","1","562__228604","562","562__2286041","p__Proteobacteria"
"2641","-1","562__228604","228604","562__228604-1","p__FCB group"
"2702","1","33043__39492","33043","33043__394921","p__Terrabacteria group"
"2706","-1","33043__39492","39492","33043__39492-1","p__Terrabacteria group"
"2808","1","47678__410072","47678","47678__4100721","p__FCB group"
"2844","-1","47678__410072","410072","47678__410072-1","p__Terrabacteria group"
"2858","1","820__46506","820","820__465061","p__FCB group"
"2899","-1","820__46506","46506","820__46506-1","p__FCB group"
"2959","1","1535__357276_397865","1535","1535__357276_3978651","p__Terrabacteria group"
"3020","-1","1535__357276_397865","357276","1535__357276_397865-1","p__FCB group"
"3027","-1","1535__357276_397865","397865","1535__357276_397865-1","p__FCB group"
"3081","1","45851__349096","45851","45851__3490961","p__Terrabacteria group"
