featureid,D006262
1755626,19.073926988467267
39029,10.308712171582277
255723,10.572840342204243
1502,14.981062788222605
1522,-0.856545074391051
39485,20.950591487042193
46503,16.402616247736987
28037,-0.44292048308682147
573,5.6969017292681565
33038,10.619931706749853
28118,3.5233172371732278
633701,8.043964925552178
1078480,0.4605076613626027
204516,6.777178495752613
84031,5.538458982724983
218538,-0.9431227405642848
89093,1.7906864561356135
357276,-11.91790984646134
376806,7.846272010612862
410072,0.7267449300467921
1630,3.717824611318804
115979,7.110106812002527
840,4.01353713958467
309120,0.7620955160983978
1735,-0.302087034972765
371601,-2.7232724001941246
40520,-5.973660563841355
44749,-1.0472085023198268
39492,8.309034703522647
165179,10.478094041589486
1590,4.842871185644158
358742,8.454685713525746
1512,6.03323483620455
180332,0.7912676367463131
818,8.209556559315402
35785,2.4957674423998912
39496,1.276302255801152
28125,6.335714504982892
821,-3.2819547585721716
89152,0.019061802124064494
71667,0.07224448118501002
39484,0.5373858374492855
52226,1.9934710884197973
33043,1.2316912560168318
1428,5.479364790437939
40518,1.8370513561347066
1002672,4.931182667545418
487175,5.0608844510731625
39491,-2.2217058137801087
1532,4.688293688479033
387090,-0.0942526679817293
208479,0.4920433045181083
33039,5.552917350632354
351091,1.2181051583704103
2751,0.09541213381503838
1559,5.428723165462998
437898,-9.41505767550259
166486,-1.0718719477091905
1547,-1.7721798479550095
114702,-0.06726404910533801
294,-2.920095416763665
820,3.7499904173041143
39950,-2.370050646948002
29367,-3.791556089934599
31998,-1.8129572010362345
29363,1.884272137021762
39778,-1.83946218075758
536633,-1.658007659500314
1042156,1.2982487289276508
397865,3.6143429138435703
74426,8.890161949814818
454154,-0.5254651379840963
823,-2.5690441151856453
39488,-0.7528605328927767
1352,-4.519842237614893
303,-0.17827263834174462
29466,23.206767205357572
310298,-8.860743198528901
1379,-3.13519179772905
28117,-6.9404658267339485
1343,-0.6399132378895049
29348,-1.9730883680585476
1604,-3.0581120729360602
28116,0.841473635663662
1598,-0.24988997079187497
1383,-0.09526768652923413
1282,-0.577061663804772
623,-0.3576919488605393
55969,-0.5026418363348235
587753,-1.747816240012283
852,-0.6734468018677715
729,-2.212445179034947
35701,-0.5110609181601633
46506,3.447793416443606
1265,-0.531303825493828
1541,-0.43658094445513757
52242,-0.1048108293141482
520080,-0.23674428807430903
2738,-0.04619106430485609
859,-0.3930609880842428
47678,-19.987439897092234
28134,-0.23241272951313535
349096,-8.647921815287102
1349,-0.07049174788987814
1335,-0.4134133929814112
33934,-0.30648168017177885
33033,-0.09037225925280681
43305,-0.29889016565534854
187327,-9.548981504316632
654,-0.9204661197252401
264463,-2.0944907830336517
169435,-0.8338459840047227
1613,-1.2397275337989042
28141,-0.034439751998719514
138595,-0.2834269729347022
137591,-0.03852065377663948
817,-3.5558665769214515
1744,-0.022383174084507223
1358,-1.7005623197835895
28137,-1.3743936917692134
1599,-0.23423934862696988
70995,-0.29113373629797457
101564,-0.40653395834351225
1328,-0.755071307873031
40681,-0.21984787682216148
