,D003424,D006262,accuracy,macro avg,weighted avg
precision,0.85,0.77,0.81,0.81,0.81
recall,0.83,0.78,0.81,0.81,0.81
f1-score,0.84,0.78,0.81,0.81,0.81
support,133.0,93.0,0.81,226.0,226.0
