,D006262,D007230,accuracy,macro avg,weighted avg
precision,0.52,0.53,0.52,0.53,0.53
recall,0.64,0.41,0.52,0.52,0.52
f1-score,0.57,0.46,0.52,0.52,0.52
support,80.0,80.0,0.52,160.0,160.0
