"","562__1351","33039__357276_1118061","166486__301301_457412","46506__821_328813","626929__338188_454155","246787__626933","45851__40214_40324","357276__1118061","1282__329_1354","410072__39486_363265","1735__39492_310298","584__287_582","821__328813","33038__1689_216816","33043__147802","818__204516","100886__165179_626940","387090__665951","39492__310298","54291__158836","338188__454155","411489__28117_46503","329__1354","1260__74426","674529__296_820","40520__46228_88431","39485__28031_43765","287__582","301301__457412","47678__197_624","1689__216816","39486__363265","1318__571_40545","328812__28111_384638","626930__817_239935","165179__626940","1304__1680_1747","310297__329854","552398__823_1283","296__820","46228__88431","28117__46503","571__40545","1286__550_28116","28111__384638","1680__1747","817__239935","28130__39491_371601","29361__853_487174","28125__37734_360807","28126__546_218538","550__28116","116085__40518_376804","823__1283","39491__371601","214856__626932","853__487174","37734__360807","546__218538","40518__376804","28031__43765","569__147207_469613","197__624","40214__40324","1358__1363","147207__469613","1352__1353"
"ERR2238745",6.78695094151786,0,0,0,0,0,0,0,-2.64118669884548,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5746695546755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238748",4.05390564887659,0,0,0,0,0,0,0,-2.18581218344771,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7859377575345,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3932409451593,0,0,0,0,0,0,0,0,-5.87726571933895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238749",3.4771630956445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.58432467571058,0,-3.92844849461152,0,0,0,0,0,0,-2.74413083401581,0,0,0,0,0,0,0,-6.80427238758463,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",1.28640079193956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93470208343984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81510392116492,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",2.87950365282837,0,0,0,0,0,0,0,-1.47959967610102,0,0,0,0,0,0,0,0,0,0,4.00831623689967,0,0,2.56274181386943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3021949049246,0,0,0,0,0,0,0,3.98751854425561,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,-3.1719541138298,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49398568443033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239105",5.5001736351062,-3.12141824063359,0,0,0,0,-2.83444005171138,5.40645498444963,0,0,0,0,0,0,0,-4.20487379181727,0,0,0,0,0,-2.62089074767994,0,0,-5.43345753712909,0,5.1241662343624,0,0,0,0,0,0,0,0,0,0,0,0,0.0834990222459285,0,4.53951593606883,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06451871984179,0,0,0,0,0,0,0,-4.90939418057227,0,0,0
"ERR2239132",0,-2.6181378026745,0,0,0,0,0,4.53474769544898,0,0,0,0,0,0,0,4.43235236460713,0,0,0,0,0,0,0,0,-2.96166836058719,0,0,0,0,0,0,0,0,0,-2.49026778268379,0,0,0,-2.63096372961177,-5.12976007570624,0,0,0,0,0,0,-4.31327032406022,0,-5.38208194729628,0,0,0,0,4.5569628525585,0,0,0.354257260470694,0,0,0,0,0,0,0,0,0,0
"ERR2239172",5.88130209532853,0,0,-2.65759650624737,0,0,0,0,0,0,0,0,4.60309217483799,0,0,0,-3.05487463391971,0,0,0,0,-2.69009560586656,0,0,-2.47502736863129,0,0,0,0,0,0,0,0,0,0,5.29119807670231,0,0,0,-4.2868731525929,0,4.65938226657867,0,0,0,0,0,-2.39435568155196,-2.64800342249141,0,-5.43048312242688,0,0,0,4.1471456918392,0,4.5864764663714,0,0.23214068353786,0,0,0,0,0,0,0,0
"ERR2239196",6.43982310536378,0,0,-5.07182601780707,0,4.10954900785039,0,0,0,0,0,0,0.732759375453689,0,0,0,0,0,0,0,0,-4.68624156484062,0,0,-2.4118983989564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.17753056968651,0,0.292904965347073,0,0,0,0,0,0,-4.76437171046983,0,0,0,0,0,0,0,0.51806019282118,0,0,0,0,0,0,0,0,0,0
