,D002446,D006262,accuracy,macro avg,weighted avg
precision,0.82,0.98,0.91,0.9,0.92
recall,0.97,0.87,0.91,0.92,0.91
f1-score,0.89,0.92,0.91,0.91,0.91
support,119.0,187.0,0.91,306.0,306.0
