,D006262,D008107,accuracy,macro avg,weighted avg
precision,0.82,0.87,0.84,0.85,0.84
recall,0.94,0.68,0.84,0.81,0.84
f1-score,0.88,0.76,0.84,0.82,0.83
support,176.0,112.0,0.84,288.0,288.0
