,D003920,D006262,accuracy,macro avg,weighted avg
precision,0.88,0.98,0.94,0.93,0.94
recall,0.97,0.91,0.94,0.94,0.94
f1-score,0.92,0.95,0.94,0.94,0.94
support,117.0,186.0,0.94,303.0,303.0
