"","Part","BalanceID","Component","Group","d.group"
"21","-1","1735__853_291645","853","1735__853_291645-1","p__Terrabacteria group"
"38","1","1735__853_291645","1735","1735__853_2916451","p__Terrabacteria group"
"92","-1","1735__853_291645","291645","1735__853_291645-1","p__FCB group"
"143","1","817__322095_357276","817","817__322095_3572761","p__FCB group"
"224","-1","817__322095_357276","322095","817__322095_357276-1","p__FCB group"
"230","-1","817__322095_357276","357276","817__322095_357276-1","p__FCB group"
"275","1","853__291645","853","853__2916451","p__Terrabacteria group"
"346","-1","853__291645","291645","853__291645-1","p__FCB group"
"438","-1","53345__40214_40324","40214","53345__40214_40324-1","p__Proteobacteria"
"439","-1","53345__40214_40324","40324","53345__40214_40324-1","p__Proteobacteria"
"451","1","53345__40214_40324","53345","53345__40214_403241","p__Terrabacteria group"
"605","1","322095__357276","322095","322095__3572761","p__FCB group"
"611","-1","322095__357276","357276","322095__357276-1","p__FCB group"
"685","1","33043__147802","33043","33043__1478021","p__Terrabacteria group"
"715","-1","33043__147802","147802","33043__147802-1","p__Terrabacteria group"
"788","1","1304__218538_310298","1304","1304__218538_3102981","p__Terrabacteria group"
"850","-1","1304__218538_310298","218538","1304__218538_310298-1","p__Terrabacteria group"
"857","-1","1304__218538_310298","310298","1304__218538_310298-1","p__FCB group"
"913","1","1283__1352_1354","1283","1283__1352_13541","p__Terrabacteria group"
"918","-1","1283__1352_1354","1352","1283__1352_1354-1","p__Terrabacteria group"
"920","-1","1283__1352_1354","1354","1283__1352_1354-1","p__Terrabacteria group"
"1019","-1","40519__296_487174","296","40519__296_487174-1","p__Proteobacteria"
"1076","1","40519__296_487174","40519","40519__296_4871741","p__Terrabacteria group"
"1131","-1","40519__296_487174","487174","40519__296_487174-1","p__FCB group"
"1173","-1","310297__1353_552398","1353","310297__1353_552398-1","p__Terrabacteria group"
"1237","1","310297__1353_552398","310297","310297__1353_5523981","p__FCB group"
"1260","-1","310297__1353_552398","552398","310297__1353_552398-1","p__Terrabacteria group"
"1341","1","54291__158836","54291","54291__1588361","p__Proteobacteria"
"1352","-1","54291__158836","158836","54291__158836-1","p__Proteobacteria"
"1419","1","1260__74426","1260","1260__744261","p__Terrabacteria group"
"1470","-1","1260__74426","74426","1260__74426-1","p__Terrabacteria group"
"1612","1","218538__310298","218538","218538__3102981","p__Terrabacteria group"
"1619","-1","218538__310298","310298","218538__310298-1","p__FCB group"
"1691","1","28111__28117_40518","28111","28111__28117_405181","p__FCB group"
"1693","-1","28111__28117_40518","28117","28111__28117_40518-1","p__FCB group"
"1710","-1","28111__28117_40518","40518","28111__28117_40518-1","p__Terrabacteria group"
"1834","-1","154046__39492_40545","39492","154046__39492_40545-1","p__Terrabacteria group"
"1840","-1","154046__39492_40545","40545","154046__39492_40545-1","p__Proteobacteria"
"1859","1","154046__39492_40545","154046","154046__39492_405451","p__Terrabacteria group"
"1915","-1","47678__571_573","571","47678__571_573-1","p__Proteobacteria"
"1916","-1","47678__571_573","573","47678__571_573-1","p__Proteobacteria"
"1973","1","47678__571_573","47678","47678__571_5731","p__FCB group"
"2069","-1","216816__1689_33038","1689","216816__1689_33038-1","p__Terrabacteria group"
"2080","-1","216816__1689_33038","33038","216816__1689_33038-1","p__Terrabacteria group"
"2119","1","216816__1689_33038","216816","216816__1689_330381","p__Terrabacteria group"
"2273","1","457412__751585","457412","457412__7515851","p__Terrabacteria group"
"2284","-1","457412__751585","751585","457412__751585-1","p__Terrabacteria group"
"2289","1","296__487174","296","296__4871741","p__Proteobacteria"
"2401","-1","296__487174","487174","296__487174-1","p__FCB group"
"2433","-1","1078764__823_33039","823","1078764__823_33039-1","p__FCB group"
"2462","-1","1078764__823_33039","33039","1078764__823_33039-1","p__Terrabacteria group"
"2539","1","1078764__823_33039","1078764","1078764__823_330391","p__Terrabacteria group"
"2619","-1","626940__147207_387661","147207","626940__147207_387661-1","p__Terrabacteria group"
"2650","-1","626940__147207_387661","387661","626940__147207_387661-1","p__FCB group"
