,D001714,D006262,accuracy,macro avg,weighted avg
precision,0.71,0.65,0.67,0.68,0.68
recall,0.59,0.75,0.67,0.67,0.67
f1-score,0.65,0.7,0.67,0.67,0.67
support,1216.0,1216.0,0.67,2432.0,2432.0
