,D004827,D006262,accuracy,macro avg,weighted avg
precision,0.81,0.8,0.8,0.81,0.8
recall,0.63,0.91,0.8,0.77,0.8
f1-score,0.71,0.85,0.8,0.78,0.8
support,708.0,1165.0,0.8,1873.0,1873.0
