,D000067877,D006262,accuracy,macro avg,weighted avg
precision,0.86,0.8,0.83,0.83,0.83
recall,0.78,0.87,0.83,0.83,0.83
f1-score,0.82,0.83,0.83,0.82,0.82
support,186.0,186.0,0.83,372.0,372.0
