"","371601__40518_328813","821__46503","218538__301302","40518__328813","1161942__29466_310298","1264__165179","39778__1465754","1547__470565","33959__47678","29466__310298","28137__158847","861__360807","308994__216816_357276","39777__84026","817__40520","907__39485","905__1515","729__487175","358743__823_397865","187327__239935","33038__351091_1297750","820__28116","39490__818_204516","1685__28117_46506","853__1535","823__397865","818__204516","216816__357276","28117__46506","351091__1297750"
"SRR5100584",0,0.830845014175721,0,0,0,0,0,0,0,0,0,0,-2.84092574179316,0,0,0,0,0,0,-4.50471857451734,-4.92199437549391,5.09782017092603,0,-2.54247279469424,4.66327655799219,0,0,-4.92062772531606,4.40369205727206,-0.0313662977108864
"SRR5100585",5.48781755479103,5.78058990464663,0,0,0,0,0,0,0,0,0,4.42540086732853,0,0,0,4.87482076503917,0,0,0,0.231655497282529,-2.48592367547676,4.75642925070635,0,-2.59651710719458,0,0,0,0,4.49729955238278,-4.30574610966412
"SRR5100586",-4.89330244467346,0.00569192444293417,0,0.229387905635938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86619788294445,4.14535683601652,0,-5.56421077483749,4.66368994899734,0,0,0,0.481135136189787,-4.96440035780614
"SRR5100587",3.86368368222688,5.71929495919823,0,-3.75397500528208,0,0,0,4.15612865932359,0,0,0,0,0,0,0,0,0,0,-2.65323954146224,0,1.42840510006972,4.55688519167243,0,0,-4.96786443641159,4.59554569046335,0,0,0,-5.06439630541286
"SRR5100588",0,6.31143742024771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11393588563863,0,-2.17139022804326,0.860808307897688,1.94505719852945,0,0,3.66144435786923,4.10874656095806,0,0,-3.76095819802949
"SRR5100589",5.3355723698892,0,0.978856385713172,0,0,0,0,0,0,0,0,0,-2.74245525094367,0,0,0,0,3.87579223426272,0,0,0,4.10807823804398,-2.29051845525298,-2.52126433670088,0,0,-3.96729434017235,-4.75007183211849,4.36695793047737,0
"SRR5100590",-0.461765932166586,5.06444775660312,0,-0.422293891767205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51252443209934,-5.04528404388862,-2.51081995549556,4.89579702709663,0,-2.77520143187269,0,-4.3518199716542,0,0,4.80678988124139,-4.34886773157614
"SRR5100591",0,4.40645227963632,4.17274724821468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05912498163348,0,-4.9382667448806,4.31433539037089,-2.54258435216778,-2.90646343813929,4.59586482887389,-5.2985598948924,-4.40388528048419,0,5.03414234519857,-0.10137546665671
"SRR5100592",0,0.681646423371976,-0.170966118481039,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9270444882406,-4.9644207615774,0,0,-2.87625562692016,4.70280724389916,-2.9109280577488,0,0,0,5.04187529319871,0,0,-4.98182088138159
"SRR5100593",0,4.51323669888867,0,0,-2.85049094373273,0,0,0,0,-4.93719514106005,0,0,2.56794214895767,0,0,-4.15652775279178,0,0,0,-5.12943443330696,0,4.83519052914813,-2.59039977018486,0,4.46302321538739,0,-4.48670401387492,-4.41772776306215,0,0
"SRR5100594",0,0,0,0,0,0,0,0,4.32423331221013,0,0,0,-5.81459158860522,0,0,0,0,0,0,-0.730881726147433,0,5.06937307149236,0,2.15516440957575,0,0,0,-1.02681845186357,-4.87625851970482,0
"SRR5100595",-2.51389620411498,4.73403130470579,0,4.35419595048168,0,0,0,0,0,0,0,0,-2.57660908568577,0,-4.19818064882698,0,-4.07607581741854,0,0,-4.05677556452372,0,5.6973564146741,-2.64427675040315,-2.26969124510985,0,0,-4.58002168097138,-4.46281784765135,3.93122055402453,0
"SRR5100596",0,0.439237177668672,5.21907512589375,0,0,0,0,0,-5.01452764614932,0,0,0,0,0,0,0,0,0,1.80659497629527,5.24014169788157,0,4.94889651380537,0,0,0,-4.91070129893344,0,0,0,0
"SRR5100597",0,1.19182720684727,0,0,0,-5.44311943926926,0,0,0,0,0,-4.45433400628266,0,0,0,0,0,0,0,-3.9958719425002,0,4.1855724456007,-2.5014181052851,-2.50391090686598,4.41395394015031,0,-4.33258324932646,0,4.33690090831773,0
"SRR5100598",0,0.101181579095333,4.71632937510555,0,0,0,0,-5.1909728213965,0,0,4.64994608432825,0,-2.78571635338331,0,0,0,0,0,0,0,0,4.51131411095428,0,-2.73742559119279,4.73218107660566,0,0,-4.82500225953539,4.74136020588519,0
"SRR5100599",-2.61065860691532,0,0,-4.52179334839433,0,0,-5.28356217545005,0,0,0,0,0,-2.17212794858757,-4.346771696874,0,0,0,0,0,-0.753895384062606,0,4.41286745347324,0,-2.5251359025002,0,0,0,-3.76223596749404,4.37366367914664,0
"SRR5100600",-3.26610810744387,0,0,-5.65706518510541,2.14181808925849,4.08439791002002,4.11326153043434,0,0,4.34431221687299,-4.36752991271149,0,0,4.60958488490094,4.86979935395046,0,0,0,0,0,-2.83048930270399,0,0,0,0,0,0,0,0,-4.90255128256352
"SRR5100601",0,4.940891183929,4.56201883846284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184179740726649,0,4.66813569419216,-5.24751278712291,-5.78304246675234,0,0,-0.558276373475152,0,-0.761185779045978,0
