oldID,newID
328813_and_371601_and_40518,371601__40518_328813
46503_and_821,821__46503
218538_and_301302,218538__301302
328813_and_40518,40518__328813
1161942_and_29466_and_310298,1161942__29466_310298
1264_and_165179,1264__165179
1465754_and_39778,39778__1465754
1547_and_470565,1547__470565
33959_and_47678,33959__47678
29466_and_310298,29466__310298
158847_and_28137,28137__158847
360807_and_861,861__360807
216816_and_308994_and_357276,308994__216816_357276
39777_and_84026,39777__84026
40520_and_817,817__40520
39485_and_907,907__39485
1515_and_905,905__1515
487175_and_729,729__487175
358743_and_397865_and_823,358743__823_397865
187327_and_239935,187327__239935
1297750_and_33038_and_351091,33038__351091_1297750
28116_and_820,820__28116
204516_and_39490_and_818,39490__818_204516
1685_and_28117_and_46506,1685__28117_46506
1535_and_853,853__1535
397865_and_823,823__397865
204516_and_818,818__204516
216816_and_357276,216816__357276
28117_and_46506,28117__46506
1297750_and_351091,351091__1297750
