,D006262,D015518,accuracy,macro avg,weighted avg
precision,0.89,0.82,0.85,0.85,0.85
recall,0.8,0.9,0.85,0.85,0.85
f1-score,0.84,0.86,0.85,0.85,0.85
support,10.0,10.0,0.85,20.0,20.0
