,D001321,D006262,accuracy,macro avg,weighted avg
precision,0.72,0.66,0.68,0.69,0.69
recall,0.6,0.76,0.68,0.68,0.68
f1-score,0.66,0.71,0.68,0.68,0.68
support,134.0,134.0,0.68,268.0,268.0
