,D006262,D008103,accuracy,macro avg,weighted avg
precision,0.8,0.89,0.85,0.85,0.86
recall,0.84,0.87,0.85,0.85,0.85
f1-score,0.82,0.88,0.85,0.85,0.85
support,171.0,268.0,0.85,439.0,439.0
