,D006262,D013959,accuracy,macro avg,weighted avg
precision,0.71,0.62,0.67,0.67,0.67
recall,0.72,0.62,0.67,0.67,0.67
f1-score,0.71,0.62,0.67,0.67,0.67
support,187.0,142.0,0.67,329.0,329.0
