"","Part","BalanceID","Component","Group","d.group"
"75","1","46506__357276_626933","46506","46506__357276_6269331","p__FCB group"
"112","-1","46506__357276_626933","357276","46506__357276_626933-1","p__FCB group"
"132","-1","46506__357276_626933","626933","46506__357276_626933-1","p__FCB group"
"187","1","28111__39485_47770","28111","28111__39485_477701","p__FCB group"
"199","-1","28111__39485_47770","39485","28111__39485_47770-1","p__Terrabacteria group"
"217","-1","28111__39485_47770","47770","28111__39485_47770-1","p__Terrabacteria group"
"289","1","562__674529","562","562__6745291","p__Proteobacteria"
"416","-1","562__674529","674529","562__674529-1","p__FCB group"
"438","1","820__310297","820","820__3102971","p__FCB group"
"524","-1","820__310297","310297","820__310297-1","p__FCB group"
"639","-1","88431__53346_158836","53346","88431__53346_158836-1","p__Terrabacteria group"
"643","1","88431__53346_158836","88431","88431__53346_1588361","p__Terrabacteria group"
"651","-1","88431__53346_158836","158836","88431__53346_158836-1","p__Proteobacteria"
"701","1","287__818_1078764","287","287__818_10787641","p__Proteobacteria"
"717","-1","287__818_1078764","818","287__818_1078764-1","p__FCB group"
"839","-1","287__818_1078764","1078764","287__818_1078764-1","p__Terrabacteria group"
"897","1","33043__246787","33043","33043__2467871","p__Terrabacteria group"
"940","-1","33043__246787","246787","33043__246787-1","p__FCB group"
"983","1","296__28117_1118061","296","296__28117_11180611","p__Proteobacteria"
"1029","-1","296__28117_1118061","28117","296__28117_1118061-1","p__FCB group"
"1120","-1","296__28117_1118061","1118061","296__28117_1118061-1","p__FCB group"
"1149","-1","322095__1318_1747","1318","322095__1318_1747-1","p__Terrabacteria group"
"1162","-1","322095__1318_1747","1747","322095__1318_1747-1","p__Terrabacteria group"
"1226","1","322095__1318_1747","322095","322095__1318_17471","p__FCB group"
"1266","-1","53345__546_573","546","53345__546_573-1","p__Proteobacteria"
"1271","-1","53345__546_573","573","53345__546_573-1","p__Proteobacteria"
"1338","1","53345__546_573","53345","53345__546_5731","p__Terrabacteria group"
"1423","1","1260__40518_147802","1260","1260__40518_1478021","p__Terrabacteria group"
"1467","-1","1260__40518_147802","40518","1260__40518_147802-1","p__Terrabacteria group"
"1489","-1","1260__40518_147802","147802","1260__40518_147802-1","p__Terrabacteria group"
"1621","1","74426__328814_363265","74426","74426__328814_3632651","p__Terrabacteria group"
"1649","-1","74426__328814_363265","328814","74426__328814_363265-1","p__FCB group"
"1654","-1","74426__328814_363265","363265","74426__328814_363265-1","p__FCB group"
"1792","1","357276__626933","357276","357276__6269331","p__FCB group"
"1812","-1","357276__626933","626933","357276__626933-1","p__FCB group"
"1833","1","584__106648_411489","584","584__106648_4114891","p__Proteobacteria"
"1906","-1","584__106648_411489","106648","584__106648_411489-1","p__Proteobacteria"
"1941","-1","584__106648_411489","411489","584__106648_411489-1","p__Terrabacteria group"
"1998","1","1623__214856_338188","1623","1623__214856_3381881","p__Terrabacteria group"
"2056","-1","1623__214856_338188","214856","1623__214856_338188-1","p__FCB group"
"2071","-1","1623__214856_338188","338188","1623__214856_338188-1","p__FCB group"
"2167","1","40518__147802","40518","40518__1478021","p__Terrabacteria group"
"2189","-1","40518__147802","147802","40518__147802-1","p__Terrabacteria group"
"2299","1","39485__47770","39485","39485__477701","p__Terrabacteria group"
"2317","-1","39485__47770","47770","39485__47770-1","p__Terrabacteria group"
"2392","1","582__1351_384638","582","582__1351_3846381","p__Proteobacteria"
"2410","-1","582__1351_384638","1351","582__1351_384638-1","p__Terrabacteria group"
"2497","-1","582__1351_384638","384638","582__1351_384638-1","p__Terrabacteria group"
"2544","-1","1286__1270_216816","1270","1286__1270_216816-1","p__Terrabacteria group"
"2547","1","1286__1270_216816","1286","1286__1270_2168161","p__Terrabacteria group"
"2617","-1","1286__1270_216816","216816","1286__1270_216816-1","p__Terrabacteria group"
