,D002318,D006262,accuracy,macro avg,weighted avg
precision,0.71,0.84,0.79,0.78,0.79
recall,0.76,0.81,0.79,0.78,0.79
f1-score,0.73,0.82,0.79,0.78,0.79
support,746.0,1170.0,0.79,1916.0,1916.0
