"","Part","BalanceID","Component","Group","d.group"
"181","1","40520__626930","40520","40520__6269301","p__Terrabacteria group"
"358","-1","40520__626930","626930","40520__626930-1","p__FCB group"
"447","1","1308__1465754","1308","1308__14657541","p__Terrabacteria group"
"780","-1","1308__1465754","1465754","1308__1465754-1","p__FCB group"
"816","1","729__78342","729","729__783421","p__Proteobacteria"
"1013","-1","729__78342","78342","729__78342-1","p__Terrabacteria group"
"1207","1","582__40324","582","582__403241","p__Proteobacteria"
"1366","-1","582__40324","40324","582__40324-1","p__Proteobacteria"
"1649","-1","79883__1504_84032","1504","79883__1504_84032-1","p__Terrabacteria group"
"1808","1","79883__1504_84032","79883","79883__1504_840321","p__Terrabacteria group"
"1814","-1","79883__1504_84032","84032","79883__1504_84032-1","p__Terrabacteria group"
"2060","-1","36848__1590_169435","1590","36848__1590_169435-1","p__Terrabacteria group"
"2138","1","36848__1590_169435","36848","36848__1590_1694351","p__Terrabacteria group"
"2240","-1","36848__1590_169435","169435","36848__1590_169435-1","p__Terrabacteria group"
"2438","1","1428__47879","1428","1428__478791","p__Terrabacteria group"
"2576","-1","1428__47879","47879","1428__47879-1","p__Proteobacteria"
"2868","-1","28038__1727_46228","1727","28038__1727_46228-1","p__Terrabacteria group"
"2880","1","28038__1727_46228","28038","28038__1727_462281","p__Terrabacteria group"
"2965","-1","28038__1727_46228","46228","28038__1727_46228-1","p__Terrabacteria group"
"3279","1","28111__218538","28111","28111__2185381","p__FCB group"
"3454","-1","28111__218538","218538","28111__218538-1","p__Terrabacteria group"
"3624","1","1406__39492_397865","1406","1406__39492_3978651","p__Terrabacteria group"
"3736","-1","1406__39492_397865","39492","1406__39492_397865-1","p__Terrabacteria group"
"3895","-1","1406__39492_397865","397865","1406__39492_397865-1","p__FCB group"
"4025","1","1504__84032","1504","1504__840321","p__Terrabacteria group"
"4190","-1","1504__84032","84032","1504__84032-1","p__Terrabacteria group"
"4433","1","1580__82135","1580","1580__821351","p__Terrabacteria group"
"4582","-1","1580__82135","82135","1580__82135-1","p__Terrabacteria group"
"4832","1","1590__169435","1590","1590__1694351","p__Terrabacteria group"
"5012","-1","1590__169435","169435","1590__169435-1","p__Terrabacteria group"
"5294","-1","1229909__33043_47678","33043","1229909__33043_47678-1","p__Terrabacteria group"
"5344","-1","1229909__33043_47678","47678","1229909__33043_47678-1","p__FCB group"
"5527","1","1229909__33043_47678","1229909","1229909__33043_476781","p__TACK group"
"5670","-1","626932__28454_1113609","28454","626932__28454_1113609-1","p__FCB group"
"5904","1","626932__28454_1113609","626932","626932__28454_11136091","p__FCB group"
"5915","-1","626932__28454_1113609","1113609","626932__28454_1113609-1","p__FCB group"
"6023","1","1623__122355_882211","1623","1623__122355_8822111","p__Terrabacteria group"
"6185","-1","1623__122355_882211","122355","1623__122355_882211-1","p__Proteobacteria"
"6307","-1","1623__122355_882211","882211","1623__122355_882211-1","p__Proteobacteria"
"6418","-1","1465521__1613_118748","1613","1465521__1613_118748-1","p__Terrabacteria group"
"6580","-1","1465521__1613_118748","118748","1465521__1613_118748-1","p__Terrabacteria group"
"6719","1","1465521__1613_118748","1465521","1465521__1613_1187481","p__Terrabacteria group"
"6904","1","39492__397865","39492","39492__3978651","p__Terrabacteria group"
"7063","-1","39492__397865","397865","39492__397865-1","p__FCB group"
"7240","1","28116__536633","28116","28116__5366331","p__FCB group"
"7480","-1","28116__536633","536633","28116__536633-1","p__Terrabacteria group"
"7826","-1","481743__290588_1113741","290588","481743__290588_1113741-1","p__Terrabacteria group"
"7868","1","481743__290588_1113741","481743","481743__290588_11137411","p__Terrabacteria group"
"7896","-1","481743__290588_1113741","1113741","481743__290588_1113741-1","p__Terrabacteria group"
