"","216816__650643","165179__39485_187327","47678__1304_1308","487175__1492_39488","1615__1596_46506","1590__1735","60519__1755626","40518__28026_536633","155617__1624_338188","818__33035_633701","341694__1559_39486","78343__1685_33038","1490__1515","39950__28117_208479","33039__820_28116","1522__1352_39029","166486__562_84030","1304__1308","851__357276","214856__156456_397865","341225__310298_351091","1354__40519","137591__1680_309120","39485__187327","33905__29466_74426","52226__88431","33035__633701","1492__39488","29363__358743","1264__39491","1161942__29375_39777","84026__218538_301301","1366__817_907","1267__1681","1596__46506","39490__143393_349096","1630__40520_410072","28026__536633","1559__39486","1689__69825","1624__338188","1502__33043","28117__208479","39484__204516_288965","562__84030","1352__39029","156456__397865","1685__33038","29466__74426","1680__309120","820__28116","29375__39777","143393__349096","310298__351091","817__907","218538__301301","729__1623_39778","40520__410072","204516__288965","1623__39778"
"SRR6251442",0,0,0,0,-2.32789569683939,0,-5.66927559621905,4.77198469930198,0,0,0,0,-4.20964814881777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.24013543619682,0,0,4.03203362164678,-2.91534397492966,-2.74865461997884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.04952388611797,0,0,0.204137957700511,0,-4.76080945426227,0,0
"SRR6251443",5.9296401371956,0,-2.15137585829771,0,0,0,-4.53896755308293,0,0,0,0,2.38295290260729,0,0,0,-3.04412332848682,0,3.72629229274874,0,0,0,3.68212885528758,0,0,-2.16319058366738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27257626944485,0,4.11697943384972,3.74675599736648,0,0,0,0,0,0,0,-3.27562618978797,0,0,-5.67355098731601
"SRR6251444",5.50004798544539,0,0,0,0,0,-4.58527316038615,0,0,0,0,0,0,0,-4.72297347425885,-3.11639881313204,0,0,-4.15706615404174,0,0,3.84158119506005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39776108099205,0,0,0,0,-0.186215141120917,0,0,0,0,0,0,0,0,0
"SRR6251445",5.77783952482132,0,0,0,0,0,-4.25294900849889,0,0,0,0,0.299151701109145,0,0,0,2.1445099284601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.28649449331183,0,0,0,0,0,4.86584840764359,0,0.537777435244278,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6251446",5.14491431658177,0,0,0,0,0,-5.95717571175257,0,0,0,0,2.18381346864964,0,0,0,-4.99073172112233,0,0,0,0,0,0,0,0,-3.4462679381555,0,0,0,0,0,-2.5365936834579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231905653790581,0,3.72198676249414,5.96911116538096,0,0,-4.39350913790736,0,0,0,0,-3.0034385253576,0,0,-5.20210812332912
"SRR6251447",0,0,0,0,-5.27785932120084,0,-4.85119476745661,-2.57930637435705,0,0,0,0,0,0,0,-2.95901515265652,0,0,-4.46855811770155,0,0,0,0,0,0,0,0,0,0,0,0,-2.57621145050427,0,0,-0.307243354111193,0,0,4.46748968867268,0,0,0,0,0,-2.76508821009194,0,-5.12516458476727,0,0,0,0,0,0,0,0,0,4.46212912331411,0,0,4.78927326728893,0
"SRR6251448",0,0,0,0,-5.91641495041255,0,-4.91565190519874,2.64485467434457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30183501562233,0,0,0,0,0,0,0,0,0,0.8812990013764,0,-2.53620237164011,4.22692576969515,0,0,0,0,0,-2.60171144919692,0,0,0,0,5.71894600526785,0,0,0,0,0,0,0,0,-4.39283136595736,4.50629641664272,0
"SRR6251449",0,-2.65679717251915,0,0,-3.07927869851446,0,-5.20151780565083,0,0,0,0,0,0,0,-0.29243127224557,0,0,0,0,0,0,0,0,-4.6017076882085,0,0,0,0,0,0,0,0,0,0,-5.3334671564916,-3.07143515423742,0,0,0,0,0,0,0,-2.94789390028099,0,0,0,0,0,0,0.120423880288778,0,-5.31988173929236,0,0,0,0,0,5.10590201060905,0
"SRR6251450",0,-2.68450988206805,0,0,0,0,0,0,0,0,0,0,0,2.32187837776457,-5.37847166659637,0,0,0,6.03591729972091,2.80281048513662,0,0,0,-4.64970750916259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.29016966122598,0,0,0,-4.10648281936703,0,0,0,1.00669636778476,0,0,0,0,0,0,0,0,0
"SRR6251451",0,0,0,0,0,0,-6.02853924228346,0,0,0,0,0,0,0,-2.71384639606606,0,0,0,-5.66977023190971,0,0,0,0,0,0,0,0,0,0,0.350495710041821,0,-4.63190645342214,-2.52207053031107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70051984192411,0,0,0,4.36835429877096,0.80670074010966,0,0,0,0
