,D006262,D012400,accuracy,macro avg,weighted avg
precision,0.89,0.96,0.92,0.92,0.92
recall,0.96,0.88,0.92,0.92,0.92
f1-score,0.92,0.92,0.92,0.92,0.92
support,50.0,50.0,0.92,100.0,100.0
