"","Part","BalanceID","Component","Group","d.group"
"88","1","216816__650643","216816","216816__6506431","p__Terrabacteria group"
"108","-1","216816__650643","650643","216816__650643-1","p__FCB group"
"162","-1","165179__39485_187327","39485","165179__39485_187327-1","p__Terrabacteria group"
"192","1","165179__39485_187327","165179","165179__39485_1873271","p__FCB group"
"194","-1","165179__39485_187327","187327","165179__39485_187327-1","p__Terrabacteria group"
"232","-1","47678__1304_1308","1304","47678__1304_1308-1","p__Terrabacteria group"
"233","-1","47678__1304_1308","1308","47678__1304_1308-1","p__Terrabacteria group"
"285","1","47678__1304_1308","47678","47678__1304_13081","p__FCB group"
"348","-1","487175__1492_39488","1492","487175__1492_39488-1","p__Terrabacteria group"
"384","-1","487175__1492_39488","39488","487175__1492_39488-1","p__Terrabacteria group"
"435","1","487175__1492_39488","487175","487175__1492_394881","p__Proteobacteria"
"466","-1","1615__1596_46506","1596","1615__1596_46506-1","p__Terrabacteria group"
"467","1","1615__1596_46506","1615","1615__1596_465061","p__Terrabacteria group"
"504","-1","1615__1596_46506","46506","1615__1596_46506-1","p__FCB group"
"575","1","1590__1735","1590","1590__17351","p__Terrabacteria group"
"585","-1","1590__1735","1735","1590__1735-1","p__Terrabacteria group"
"728","1","60519__1755626","60519","60519__17556261","p__Terrabacteria group"
"770","-1","60519__1755626","1755626","60519__1755626-1","p__Terrabacteria group"
"806","-1","40518__28026_536633","28026","40518__28026_536633-1","p__Terrabacteria group"
"830","1","40518__28026_536633","40518","40518__28026_5366331","p__Terrabacteria group"
"876","-1","40518__28026_536633","536633","40518__28026_536633-1","p__Terrabacteria group"
"909","-1","155617__1624_338188","1624","155617__1624_338188-1","p__Terrabacteria group"
"960","1","155617__1624_338188","155617","155617__1624_3381881","p__Terrabacteria group"
"976","-1","155617__1624_338188","338188","155617__1624_338188-1","p__FCB group"
"995","1","818__33035_633701","818","818__33035_6337011","p__FCB group"
"1034","-1","818__33035_633701","33035","818__33035_633701-1","p__Terrabacteria group"
"1097","-1","818__33035_633701","633701","818__33035_633701-1","p__FCB group"
"1124","-1","341694__1559_39486","1559","341694__1559_39486-1","p__Terrabacteria group"
"1153","-1","341694__1559_39486","39486","341694__1559_39486-1","p__Terrabacteria group"
"1198","1","341694__1559_39486","341694","341694__1559_394861","p__Terrabacteria group"
"1243","-1","78343__1685_33038","1685","78343__1685_33038-1","p__Terrabacteria group"
"1255","-1","78343__1685_33038","33038","78343__1685_33038-1","p__Terrabacteria group"
"1283","1","78343__1685_33038","78343","78343__1685_330381","p__Terrabacteria group"
"1337","1","1490__1515","1490","1490__15151","p__Terrabacteria group"
"1340","-1","1490__1515","1515","1490__1515-1","p__Terrabacteria group"
"1469","-1","39950__28117_208479","28117","39950__28117_208479-1","p__FCB group"
"1489","1","39950__28117_208479","39950","39950__28117_2084791","p__Terrabacteria group"
"1516","-1","39950__28117_208479","208479","39950__28117_208479-1","p__Terrabacteria group"
"1546","-1","33039__820_28116","820","33039__820_28116-1","p__FCB group"
"1578","-1","33039__820_28116","28116","33039__820_28116-1","p__FCB group"
"1586","1","33039__820_28116","33039","33039__820_281161","p__Terrabacteria group"
"1664","-1","1522__1352_39029","1352","1522__1352_39029-1","p__Terrabacteria group"
"1671","1","1522__1352_39029","1522","1522__1352_390291","p__Terrabacteria group"
"1700","-1","1522__1352_39029","39029","1522__1352_39029-1","p__Terrabacteria group"
"1761","-1","166486__562_84030","562","166486__562_84030-1","p__Proteobacteria"
"1835","-1","166486__562_84030","84030","166486__562_84030-1","p__Terrabacteria group"
"1843","1","166486__562_84030","166486","166486__562_840301","p__Terrabacteria group"
"1882","1","1304__1308","1304","1304__13081","p__Terrabacteria group"
"1883","-1","1304__1308","1308","1304__1308-1","p__Terrabacteria group"
"1988","1","851__357276","851","851__3572761","p__Fusobacteria"
"2081","-1","851__357276","357276","851__357276-1","p__FCB group"
"2171","-1","214856__156456_397865","156456","214856__156456_397865-1","p__Terrabacteria group"
"2177","1","214856__156456_397865","214856","214856__156456_3978651","p__FCB group"
"2193","-1","214856__156456_397865","397865","214856__156456_397865-1","p__FCB group"
"2294","-1","341225__310298_351091","310298","341225__310298_351091-1","p__FCB group"
"2297","1","341225__310298_351091","341225","341225__310298_3510911","p__Terrabacteria group"
"2300","-1","341225__310298_351091","351091","341225__310298_351091-1","p__Terrabacteria group"
"2325","1","1354__40519","1354","1354__405191","p__Terrabacteria group"
"2371","-1","1354__40519","40519","1354__40519-1","p__Terrabacteria group"
"2451","-1","137591__1680_309120","1680","137591__1680_309120-1","p__Terrabacteria group"
"2498","1","137591__1680_309120","137591","137591__1680_3091201","p__Terrabacteria group"
"2513","-1","137591__1680_309120","309120","137591__1680_309120-1","p__Terrabacteria group"
"2582","1","39485__187327","39485","39485__1873271","p__Terrabacteria group"
"2614","-1","39485__187327","187327","39485__187327-1","p__Terrabacteria group"
"2682","-1","33905__29466_74426","29466","33905__29466_74426-1","p__Terrabacteria group"
"2688","1","33905__29466_74426","33905","33905__29466_744261","p__Terrabacteria group"
"2710","-1","33905__29466_74426","74426","33905__29466_74426-1","p__Terrabacteria group"
"2816","1","52226__88431","52226","52226__884311","p__Terrabacteria group"
"2826","-1","52226__88431","88431","52226__88431-1","p__Terrabacteria group"
"2904","1","33035__633701","33035","33035__6337011","p__Terrabacteria group"
"2967","-1","33035__633701","633701","33035__633701-1","p__FCB group"
"2988","1","1492__39488","1492","1492__394881","p__Terrabacteria group"
"3024","-1","1492__39488","39488","1492__39488-1","p__Terrabacteria group"
"3120","1","29363__358743","29363","29363__3587431","p__Terrabacteria group"
"3182","-1","29363__358743","358743","29363__358743-1","p__Terrabacteria group"
"3200","1","1264__39491","1264","1264__394911","p__Terrabacteria group"
