,D006262,D015497,accuracy,macro avg,weighted avg
precision,0.76,0.85,0.81,0.81,0.81
recall,0.78,0.84,0.81,0.81,0.81
f1-score,0.77,0.84,0.81,0.81,0.81
support,41.0,61.0,0.81,102.0,102.0
