,D006262,D008881,accuracy,macro avg,weighted avg
precision,0.64,0.67,0.65,0.65,0.65
recall,0.69,0.61,0.65,0.65,0.65
f1-score,0.67,0.64,0.65,0.65,0.65
support,1170.0,1170.0,0.65,2340.0,2340.0
