,D006262,D006973,accuracy,macro avg,weighted avg
precision,0.78,0.98,0.89,0.88,0.91
recall,0.98,0.83,0.89,0.9,0.89
f1-score,0.87,0.9,0.89,0.88,0.89
support,97.0,156.0,0.89,253.0,253.0
