"","46506__501571","363265__571_936548","491921__47678_638849","47678__638849","328814__1118061","1226323__454154_552398","39492__1535_487173","1226322__1680_626940","901__40518_239935","40519__333367","1680__626940","907__158847_301301","823__665950","571__936548","487175__55565_338188","1735__817_469610","40518__239935","35833__328813_626932","876__52226","861__33038_208479","1535__487173","154046__165179_387090","1547__818_28116","158847__301301","1304__1681_39491","1382__28111_166486","674529__310297_310298","817__469610","291644__562_204516","328813__626932","165179__387090","33038__208479","1211813__216816_360807","371601__550_357276","1681__39491","28111__166486","562__204516","550__357276","1660__573_39485","905__74426_751585","310297__310298","216816__360807","818__28116","74426__751585","487174__28117_40545","573__39485","33039__46228","218538__820_821","55565__338188","454154__552398","28117__40545","820__821"
"ERR1398068",3.62771713057559,6.02868800137383,0,0,0,0,0,0,-1.98883049246155,0,0,0,0,0,0,0,3.44475546058563,0,0,0,0,-3.76600543967716,0,0,-2.67454520706825,0,0,0,-1.82445075156501,0,6.52291276310161,0,0,0,-4.63244818578203,0,-3.16004139761782,0,0,0,0,0,0,0,-1.92699505844633,0,0,0,0,0,3.3376533471632,0
"ERR1398069",0,6.60007376894589,0,0,0.162780195559914,0,-1.98003263026509,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.42951711626337,0,0,0,0,0,-2.03484268465345,0,-2.11816234716351,0,0,0,0,0,0,0,3.66876480396654,0,0,-1.84814645216712,3.52445091522964,0,0,3.20108355498161,-2.5794582524051,0,0,0,0,0,4.46775274916846,0
"ERR1398070",6.50572317766799,0,0,0,3.77809440825187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42462196544705,0,0,0,-5.14895684139928,0,0,0,-2.16413043279634,0,-4.1995684333018,0,0.848315179022223,0,-2.22148514005615,0,0,-3.74838386380929,0,0,0,3.84772513083651,0,-4.67380465889149,0,0,0,0.869215998207961
"ERR1398071",5.57350983165042,0,0,0,0,0,0,-2.61403554747188,0,0,4.52764238101242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63016959795426,0,-2.69948786721533,0,0,0,0,0,0,0,-4.67565014043269,0,0,-2.38066952168694,-4.55558737617978,0,0,4.12344056759247,-3.6213565440521,0,0,-4.61960802797985,0,0,-6.27237352662029,-0.434915130844646
"ERR1398072",0,0,0,0,4.47876296161965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.31593653878725,0,0,0,0,-2.27278458248771,0,0,0,5.7433705598536,0,2.42364364475974,0,0,0,0,0,0,0,-3.93657837152794,-3.72602215215899,0,0,4.80926049035656,0,0,-4.89632053536464,0,0,0,0.664320783549415
"ERR1398073",6.03083929425616,0,-2.84290875987618,4.92406241338818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2058872640529,0,0,0,0,0,0,0,0,-3.19801953175408,0,0,1.72409438766189,0,0,0,0,5.53913231259569,0,0,0,0,0,0,0,0,0,3.09723907426019,-5.27897288951011,0,0,0,-0.529987393855835
"ERR1398074",0,7.16784404826742,0,0,-4.45989987059237,0,0,-2.52466322323748,0,0,-4.37284497464793,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.209556733272,-2.55275942614886,-2.30352164859721,0,-2.28177339796669,0,0,0,0,0,-3.82706452423302,4.42150902559019,3.95214745663739,0,0,0,-3.98981653170519,0,0,0,-2.90539596199741,0,0,0,0,0,-5.03229342228497,0
"ERR1398076",0,0,0,0,-0.209577845567232,0,0,-2.53125787795712,0,0,-4.38426725168071,0,0,0,0,0,0,-6.12198717847407,0,0,0,0,0,0,0,0,0,0,0,-0.0716386851830419,0,0,0,-2.51554154237695,0,0,0,4.35704575994705,-2.5796224014495,-2.7528954033969,0,0,0,4.76815470660625,0,4.46803706365338,0,0,0,0,0,0
"ERR1398077",5.54758125990875,0,0,0,-4.61760487772806,0,0,2.32131020845485,0,4.17455183275352,4.93560055297918,0,0,0,0,0,0,-2.52735685073452,0,0,0,0,0,0,0,-2.73823871805239,0,0,0,4.37751047432945,0,0,0,0,0,-4.742768582919,0,0,0,0,0,0,0,0,0,0,0,-2.83380659392391,0,0,0,-4.90829699949991
"ERR1398079",0,0,0,0,3.8384021999826,0,0,-2.59216759192451,0,0,4.48976597094673,0,0,0,0,0,0,0,0,0,0,-3.66752200932164,0,0,-2.18369101497792,0,0,0,-1.7776755282614,0,6.35233445802218,0,0,0,-3.7822637859734,0,-3.07902433432058,0,0,-2.12296038384424,0,0,0,3.67707524727415,-5.24096382051227,0,0,0,0,0,-1.97608452277674,0
"ERR1398080",4.37580165088616,0,0,0,4.04980131107295,0,0,0,0,0,0,-2.28359813925459,0,0,0,0,0,0,0,0,0,0,0,-3.9553080012587,0,0,-3.15238666100019,0,-2.77379626488429,0,0,0,-2.72589456856853,0,0,0,-4.80435606062437,0,-2.28182269580266,0,5.46009386195473,-4.72138788883674,0,0,-2.43373355698754,-3.95223284299398,0,0,0,0,4.21535017278775,0
"ERR1398081",0,0,0,0,0,0,0,-2.85295898492156,0,0,-4.94146991379427,0,0,0,0,0,0,0,-4.12250804595884,0,0,-3.64403003619475,0,0,2.06585590288166,0,0,0,0,0,6.31164516699636,0,-2.15043691493167,0,-4.651761631656,0,0,0,0,0,0,-3.72466599513332,0,0,-2.95303137133048,0,0,0,0,0,-5.11480037148919,0
