oldID,newID
46506_and_501571,46506__501571
363265_and_571_and_936548,363265__571_936548
47678_and_491921_and_638849,491921__47678_638849
47678_and_638849,47678__638849
1118061_and_328814,328814__1118061
1226323_and_454154_and_552398,1226323__454154_552398
1535_and_39492_and_487173,39492__1535_487173
1226322_and_1680_and_626940,1226322__1680_626940
239935_and_40518_and_901,901__40518_239935
333367_and_40519,40519__333367
1680_and_626940,1680__626940
158847_and_301301_and_907,907__158847_301301
665950_and_823,823__665950
571_and_936548,571__936548
338188_and_487175_and_55565,487175__55565_338188
1735_and_469610_and_817,1735__817_469610
239935_and_40518,40518__239935
328813_and_35833_and_626932,35833__328813_626932
52226_and_876,876__52226
208479_and_33038_and_861,861__33038_208479
1535_and_487173,1535__487173
154046_and_165179_and_387090,154046__165179_387090
1547_and_28116_and_818,1547__818_28116
158847_and_301301,158847__301301
1304_and_1681_and_39491,1304__1681_39491
1382_and_166486_and_28111,1382__28111_166486
310297_and_310298_and_674529,674529__310297_310298
469610_and_817,817__469610
204516_and_291644_and_562,291644__562_204516
328813_and_626932,328813__626932
165179_and_387090,165179__387090
208479_and_33038,33038__208479
1211813_and_216816_and_360807,1211813__216816_360807
357276_and_371601_and_550,371601__550_357276
1681_and_39491,1681__39491
166486_and_28111,28111__166486
204516_and_562,562__204516
357276_and_550,550__357276
1660_and_39485_and_573,1660__573_39485
74426_and_751585_and_905,905__74426_751585
310297_and_310298,310297__310298
216816_and_360807,216816__360807
28116_and_818,818__28116
74426_and_751585,74426__751585
28117_and_40545_and_487174,487174__28117_40545
39485_and_573,573__39485
33039_and_46228,33039__46228
218538_and_820_and_821,218538__820_821
338188_and_55565,55565__338188
454154_and_552398,454154__552398
28117_and_40545,28117__40545
820_and_821,820__821
