,D000544,D006262,accuracy,macro avg,weighted avg
precision,0.9,1.0,0.96,0.95,0.96
recall,1.0,0.93,0.96,0.97,0.96
f1-score,0.95,0.97,0.96,0.96,0.96
support,688.0,1148.0,0.96,1836.0,1836.0
