,D006262,D009765,accuracy,macro avg,weighted avg
precision,0.79,0.85,0.82,0.82,0.82
recall,0.86,0.77,0.82,0.82,0.82
f1-score,0.83,0.81,0.82,0.82,0.82
support,96.0,96.0,0.82,192.0,192.0
