"","1264__28137_357276","46503__28116_487175","187327__28136_39485","97478__216816","28135__839_46506","29355__29375_437898","169435__39777_97084","166486__397865","2741__1630_358742","1755626__821_239935","387090__1735_35833","1689__562_1680","28116__487175","28137__357276","817__28117_626932","638619__1659_1686","160799__1352_310297","37734__155617","1502__573_1496","28129__228604_291644","839__46506","40518__44749","28111__33043_633701","349096__185294_454154","1352__310297","29363__1559_589537","901__29348_214856","28136__39485","821__239935","1659__1686","179995__310298","84032__288965","1735__35833","39778__823_1681","39484__208479","185294__454154","28125__28127","1630__358742","35785__218538","39777__97084","573__1496","39029__626935","562__1680","1694__29389","851__69825","1515__38986_246787","876__40520","1349__1623_40519","228604__291644","45851__165179_204516","454155__39492_147207","1308__28118","28117__626932","36745__818_28108","1559__589537","29466__301301","219748__820_28026","29375__437898","84030__185293_202604","823__1681","850__905_309120","477666__652716","1304__31909_152297","29348__214856","165179__204516","38986__246787","762212__74426_351091","33043__633701","1623__40519","820__28026","818__28108","185293__202604","39492__147207","74426__351091","905__309120","31909__152297"
"SRR6024795",0,0,0.721088924508585,0,0,0,0,0,0,3.56824225275838,0,0,0,0,0,0,0,0,0,0,0,0,-5.30230692329747,0,0,0,0,0.254620419568317,4.45605600156111,0,0,0,0,0,0,0,0,0,-4.2851000495422,0,0,0,0,0,0,0,0,0,0,-3.42114376645036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92559482348957,0,0,0.404186767504862,0,0,0,0,0,0,0,0
"SRR6024799",4.81079034762226,0,-2.50600289095808,0,0,0,0,0,0,3.41265024278035,0,0,0,0,-2.5587808786436,0,0,0,0,0,0,0,5.30723768195334,0,0,0,0,-4.34052433105388,4.58459821028223,0,-0.540705568401119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43193848724646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6024800",0,0,0,-4.4926582341265,0,0,0,-4.5461169484887,0,0.289050715224805,0,0,0,0,-2.69673272878351,0,0,0,0,0,0,0,0,-2.46629202613216,0,0,0,0,-0.207763402860277,0,0,0,0,0,0,-4.27174309556288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67087810068689,0,0,0,-2.96576810631714,0,0,0,0,0,0,0,0,0,-2.41582762621608,0,0,5.13686104360862,0,0,0,-4.18433619093476,0,0
"SRR6024803",0,0,5.39042007948016,0,0,0,0,0,0,3.83711856077707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39415254748047,0,0,0,0,0,0,0,0,0,0,0,0,4.5159366599302,0,-4.47998541544153,-3.72884444074939,0,0,0,0,-2.7572333557612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77566826050203,0,-2.53893431299456,0,0,0,0,0,0,4.39756322718657,0,0
"SRR6024804",0,0,0,0,0,0,0,0,0,4.67765806565371,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25933572114233,0,1.99505306838747,0,0,0,0,-3.45812957513453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57874474421249,0,0,4.52694844730114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6024805",-2.40972342544782,0,5.25472937848821,0,0,0,0,0,0,3.60606931810767,0,0,0,-4.17376340506453,0,0,-2.8305598986605,0,0,0,0,0,0,-2.78866648723804,-4.90267355834701,0,0,0,4.87465274225039,0,0,0,0,0,0,-4.83011204126092,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55197328643631,0,0,0,0,0,-4.40913090794747,0,0,0,0,0,0,0,0,0.582764057738724,0,0,0,0,0,0,0,0,0,0,0
"SRR6024806",0,5.03855675779601,-2.73341847904435,0,0,0,0,0,0,3.2073757038913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.73441968405245,4.91109524044801,0,-4.92037178167768,0,0,0,0,0,0,0,-4.61240369064055,0,0,0,0,0,0,0,0,0,0,-3.53801172581686,0,0,0,0,0,-3.96642920148552,0,0,0,0,0,0,0,0,6.12801606688924,0,0,0,0,0,0,0,0,0,0,0
"SRR6024807",0,0,0,0,0,0,0,0,0,3.20359853991163,0,0,0,0,-2.52867171275937,0,0,0,0,0,0,0,-2.51179821124037,0,0,0,0,0,4.99735076772604,0,0,0,0,0,0,0,0,0,-4.71064410391613,0,0,0,0,0,0,-2.5593046219009,0,0,0,0,0,0,4.37978788216144,0,0,0,-3.07053490566035,0,0,0,0,0,0,0,0,-4.43284563717821,-2.81102356996443,4.35056212022894,0,5.31832246301744,0,0,0,-4.86883564445203,0,0
"SRR6024808",0,0,6.5899685994302,0,0,0,0,0,0,5.33300334118807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35257455117121,0,0,0,0,0,0,0,0,0.40611020517736,0,0,0,0,0,0,4.15131272643024,0,0,-4.35907029982394,0,-4.2944406141419,0,0,0,0,0,0,0,4.07477865122208,0,0,0,0,0,0,0,0,0,0,0,-2.4386327896966,0,0,0,0,0,0,4.22383589275793,0,0
"SRR6024809",0,0.1242148867003,0,0,0,0,0,-4.60639892059386,0,2.71083106910212,5.93863536379765,0,-0.212774790974091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78204933143296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12654615704852,0,0,0,0,0,0,0,0,0,-2.62371554533869,0,0,5.41533679621725,0,0,0,-4.5444086291349,0,0
