,D006262,D016640,accuracy,macro avg,weighted avg
precision,0.71,0.73,0.72,0.72,0.72
recall,0.74,0.7,0.72,0.72,0.72
f1-score,0.72,0.71,0.72,0.72,0.72
support,23.0,23.0,0.72,46.0,46.0
