"","28116__84026_626937","239935__1755626","204516__2173_169435","1680__817_40518","46506__218538","823__328812_397865","84026__626937","817__40518","1515__28117_351091","28118__29466_47678","69825__39029_454154","2173__169435","28117__351091","905__39485_1161942","28125__46503_187327","74426__626930","901__45851","1630__39492","309120__310297","122355__589436","84109__301301","1559__44742","29552__39778","288965__820_357276","39497__633701","97478__1465754","562__329854","328814__626932","29375__33043_52226","328812__397865","179995__310298","907__214856","52133__762210","29466__47678","46503__187327","39029__454154","39485__1161942","33043__52226","820__357276"
"SRR6357088",0,-4.44032719820726,-2.60445721931129,0,-5.37028868214396,0,0,0,2.0778853120833,0,4.98468318880587,4.51105222998672,-4.72433117687123,0,2.08884686343123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5138616978448,0,0,0,0
"SRR6357090",0,0.13386693737307,0,-2.9831188636112,0,-2.63634660059963,0,-5.16691343679173,-5.46060094799522,0,0,0,-0.647858813754837,-2.7713486555593,0,0,-4.77465650031648,0,0,0,0,0,0,-2.69470738135814,0,0,0,0,0,-4.56628625860006,0,0,0,0,0,0,4.8001166769164,0,4.66737009604318
"SRR6357091",5.75361086991916,-4.68702630090072,5.95978298795588,0,0,2.2810219486521,0,0,0,0,-2.48743163042042,0,0,0,0,0,0,-4.70781480275466,0,0,0,0,0,0,0,0,0,0,0,-4.73508500526856,0,0,0,0,0,-4.30835796424206,0,0,0
"SRR6357096",4.61427413246031,-4.86804714770653,0,0,-4.45776821790982,0,0,0,0,0,-4.83329323019376,0,0,0,-2.5615483309429,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33659427327983,0,0,0,-3.83444037231703,0,4.43673185523636,-0.106047458056903,0,4.04709999799514,0
"SRR6357099",2.39785502109389,-4.65137270028238,2.71180537741554,0,-0.26230617593056,0,5.01869596545693,0,0,0,0,4.13343306339046,0,0,-3.17837826314061,0,0,0,0,0,0,0,0,-2.67134513316823,0,0,0,0,0,0,0,0,0,0,-5.50511263743205,0,0,0,4.62690549519921
"SRR6357116",6.05653138966365,0,4.94240422276073,0,5.32161319140978,-2.39363828146123,0,0,-2.66001001838716,0,0,0,4.60727250048878,0,-4.96686685570682,0,0,0,0,0,0,0,0,-3.426179306458,0,0,0,0,0,-4.1459031184327,0,0,0,0,-0.346079851114988,0,0,0,5.93431663462635
"SRR6357120",-5.33541583981681,-4.84530147494366,0,-2.67882897054858,-4.61503837270206,0,-0.709797013612151,-4.63986788177758,-5.13732102721325,0,5.19518830686317,0,0.276175812346466,0,0,0,0,0,0,0,0,0,0,-2.95966688659663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12629342106455
"SRR6357121",-5.02446229191195,-4.14227029328838,0,0,-4.64436305904493,0,-0.160238657744887,0,-2.61032693873856,0,0,0,-4.52121888226092,0,0,0,0,0,0,4.09516155512034,0,0,4.37779558561217,0,0,0,4.56124209092375,0,0,0,0,0,4.49769273313373,0,0,0,0,0,0
"SRR6357122",0,-4.60207070882063,-2.65899554447543,0,0,5.14343184736059,0,0,-5.14860169205318,0,4.82875259990283,-4.60551538013071,-0.742001629128484,0,-5.74348792239422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65274198233857,0,0,0,0
"SRR6357123",0,-0.495681839399023,0,-3.31432850987206,0.684848124116626,4.44647772904927,0,5.74058537207245,-2.5252364147065,0,0,0,-4.37383777139473,0,0,0,0,0,0,0,0,0,0,-2.55276228672775,0,0,0,0,0,0,0,0,-3.77686878845542,0,0,0,0,0,4.42151398025818
"SRR6357124",5.97316079323649,4.07706766661801,6.00855483701033,0,4.40168496539368,0,0,0,0,4.59753902655423,0,0,0,0,-2.95251224624814,0,0,0,0,0,0,0,0,-6.00084647782539,0,0,0,0,0,0,0,0,0,0,-5.1139012204711,0,0,0,1.40334967523898
