,D006262,D043183,accuracy,macro avg,weighted avg
precision,0.63,0.64,0.63,0.63,0.63
recall,0.65,0.62,0.63,0.63,0.63
f1-score,0.64,0.63,0.63,0.63,0.63
support,187.0,187.0,0.63,374.0,374.0
