,D006262,D015179,accuracy,macro avg,weighted avg
precision,0.72,0.72,0.72,0.72,0.72
recall,0.72,0.72,0.72,0.72,0.72
f1-score,0.72,0.72,0.72,0.72,0.72
support,627.0,627.0,0.72,1254.0,1254.0
