,D006262,D013959,accuracy,macro avg,weighted avg
precision,0.6,0.65,0.62,0.62,0.62
recall,0.72,0.52,0.62,0.62,0.62
f1-score,0.65,0.58,0.62,0.62,0.62
support,187.0,187.0,0.62,374.0,374.0
