,D003967,D006262,accuracy,macro avg,weighted avg
precision,0.69,0.67,0.68,0.68,0.68
recall,0.66,0.7,0.68,0.68,0.68
f1-score,0.67,0.69,0.68,0.68,0.68
support,187.0,187.0,0.68,374.0,374.0
