,D001289,D006262,accuracy,macro avg,weighted avg
precision,0.81,0.85,0.83,0.83,0.83
recall,0.86,0.8,0.83,0.83,0.83
f1-score,0.83,0.83,0.83,0.83,0.83
support,1170.0,1170.0,0.83,2340.0,2340.0
