,D006262,D011565,accuracy,macro avg,weighted avg
precision,0.77,0.89,0.83,0.83,0.84
recall,0.88,0.78,0.83,0.83,0.83
f1-score,0.82,0.83,0.83,0.83,0.83
support,26.0,32.0,0.83,58.0,58.0
