,D002446,D006262,accuracy,macro avg,weighted avg
precision,0.67,0.75,0.73,0.71,0.72
recall,0.56,0.83,0.73,0.69,0.73
f1-score,0.61,0.79,0.73,0.7,0.72
support,722.0,1170.0,0.73,1892.0,1892.0
