,D006262,D050031,accuracy,macro avg,weighted avg
precision,0.88,0.84,0.86,0.86,0.86
recall,0.83,0.89,0.86,0.86,0.86
f1-score,0.85,0.86,0.86,0.86,0.86
support,35.0,35.0,0.86,70.0,70.0
