,D006262,D065626,accuracy,macro avg,weighted avg
precision,0.47,0.6,0.56,0.54,0.54
recall,0.37,0.69,0.56,0.53,0.56
f1-score,0.42,0.64,0.56,0.53,0.54
support,73.0,98.0,0.56,171.0,171.0
