,D003248,D006262,accuracy,macro avg,weighted avg
precision,0.77,0.78,0.78,0.78,0.78
recall,0.79,0.77,0.78,0.78,0.78
f1-score,0.78,0.78,0.78,0.78,0.78
support,179.0,179.0,0.78,358.0,358.0
