,D006262,D013167,accuracy,macro avg,weighted avg
precision,0.84,0.82,0.83,0.83,0.83
recall,0.81,0.85,0.83,0.83,0.83
f1-score,0.83,0.83,0.83,0.83,0.83
support,114.0,114.0,0.83,228.0,228.0
