"","46228__216816_310297","40545__28026_28130","328814__820_28116","301301__1118061","384638__28111_328813","53345__316_322095","1680__751585","291644__821_204516","546__818","674529__1318_29382","37734__1351_1352","584__329854_626929","820__28116","571__46503_357276","1282__100886_626932","821__204516","548__562_817","28111__328813","216816__310297","1747__1358_103892","562__817","296__47678_246787","376804__39485_338188","29361__287_582","1735__823_1078764","46503__357276","1304__1582_469613","40520__411489","1351__1352","329854__626929","154046__1354_54291","39486__329_658089","116085__39488_626940","100886__626932","626933__166486_487174","1318__29382","39485__338188","88431__853_40518","293__47770","28025__147802","28125__573_360807","1363__454154","823__1078764","72556__457412","47678__246787","28026__28130","316__322095","291645__387661","310298__39491_46506","303__1623","1286__1681","106649__454155","587__43765","624__469610","1358__103892","287__582","158836__754333","521720__626930","166486__487174","1396__550_45851","569__387090_658081","147207__729_1531","39488__626940","40214__40324","1354__54291","363265__487173","1582__469613","40519__487175","39496__214856","2173__410072","649756__33039_39492","501496__658086","573__360807","853__40518","329__658089","729__1531","328812__165179_239935","39491__46506","550__45851","1689__33038","387090__658081","33039__39492","165179__239935"
"ERR2238676",0,0,0,0,0,0,0,0,0,0,-1.62193936400429,0,0,0,0,0,-3.84785825036433,0,0,4.30702193392648,6.6646859899541,0,0,-2.44178486784565,0,0,0,0,2.80928138525139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22929545226152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92660317658264,0,0,0,6.80107620300249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84718650024469,0,0,0,6.6635224846169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238700",0,0,0,0,0,7.80186986683747,0,0,0,0,0,0,0,0,0,0,-2.6244588283903,0,0,0,4.54569603314468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93415442212648,0,0,0,6.81415534394483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26006649528419,0,0,0,3.91454999831635,0,0,0,0,0,0,0,0,0,-3.92880870424606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80489628897302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.78918809862395,0,0,0,6.563066306252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71222395674763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,0,0,0,0,0,0,-1.32675117253941,0,6.51636758258965,0,0,0,0,-3.84750274121111,0,0,0,6.66407023003817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29800043983984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73726946401285,0,0,0,6.47314059324597,0,0,0,0,0,0,0,0,0,0,-0.661260516812951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14533681215929,0,0,0,0,0,0,0,0
"ERR2238719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93475616986901,0,0,0,6.81519760160824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54775211417281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68078529926944,0,0,0,0,0,0,0,0,0,0
