,D006262,D008881,accuracy,macro avg,weighted avg
precision,0.68,0.69,0.68,0.68,0.68
recall,0.7,0.66,0.68,0.68,0.68
f1-score,0.69,0.68,0.68,0.68,0.68
support,187.0,187.0,0.68,374.0,374.0
