"","Part","BalanceID","Component","Group","d.group"
"75","1","46228__216816_310297","46228","46228__216816_3102971","p__Terrabacteria group"
"97","-1","46228__216816_310297","216816","46228__216816_310297-1","p__Terrabacteria group"
"104","-1","46228__216816_310297","310297","46228__216816_310297-1","p__FCB group"
"195","-1","40545__28026_28130","28026","40545__28026_28130-1","p__Terrabacteria group"
"201","-1","40545__28026_28130","28130","40545__28026_28130-1","p__FCB group"
"219","1","40545__28026_28130","40545","40545__28026_281301","p__Proteobacteria"
"315","-1","328814__820_28116","820","328814__820_28116-1","p__FCB group"
"344","-1","328814__820_28116","28116","328814__820_28116-1","p__FCB group"
"403","1","328814__820_28116","328814","328814__820_281161","p__FCB group"
"544","1","301301__1118061","301301","301301__11180611","p__Terrabacteria group"
"588","-1","301301__1118061","1118061","301301__1118061-1","p__FCB group"
"637","-1","384638__28111_328813","28111","384638__28111_328813-1","p__FCB group"
"696","-1","384638__28111_328813","328813","384638__28111_328813-1","p__FCB group"
"705","1","384638__28111_328813","384638","384638__28111_3288131","p__Terrabacteria group"
"740","-1","53345__316_322095","316","53345__316_322095-1","p__Proteobacteria"
"815","1","53345__316_322095","53345","53345__316_3220951","p__Terrabacteria group"
"841","-1","53345__316_322095","322095","53345__316_322095-1","p__FCB group"
"923","1","1680__751585","1680","1680__7515851","p__Terrabacteria group"
"1026","-1","1680__751585","751585","1680__751585-1","p__Terrabacteria group"
"1051","-1","291644__821_204516","821","291644__821_204516-1","p__FCB group"
"1124","-1","291644__821_204516","204516","291644__821_204516-1","p__FCB group"
"1130","1","291644__821_204516","291644","291644__821_2045161","p__FCB group"
"1183","1","546__818","546","546__8181","p__Proteobacteria"
"1196","-1","546__818","818","546__818-1","p__FCB group"
"1353","-1","674529__1318_29382","1318","674529__1318_29382-1","p__Terrabacteria group"
"1379","-1","674529__1318_29382","29382","674529__1318_29382-1","p__Terrabacteria group"
"1466","1","674529__1318_29382","674529","674529__1318_293821","p__FCB group"
"1501","-1","37734__1351_1352","1351","37734__1351_1352-1","p__Terrabacteria group"
"1502","-1","37734__1351_1352","1352","37734__1351_1352-1","p__Terrabacteria group"
"1530","1","37734__1351_1352","37734","37734__1351_13521","p__Terrabacteria group"
"1632","1","584__329854_626929","584","584__329854_6269291","p__Proteobacteria"
"1727","-1","584__329854_626929","329854","584__329854_626929-1","p__FCB group"
"1750","-1","584__329854_626929","626929","584__329854_626929-1","p__FCB group"
"1785","1","820__28116","820","820__281161","p__FCB group"
"1814","-1","820__28116","28116","820__28116-1","p__FCB group"
"1923","1","571__46503_357276","571","571__46503_3572761","p__Proteobacteria"
"1987","-1","571__46503_357276","46503","571__46503_357276-1","p__FCB group"
"2023","-1","571__46503_357276","357276","571__46503_357276-1","p__FCB group"
"2084","1","1282__100886_626932","1282","1282__100886_6269321","p__Terrabacteria group"
"2143","-1","1282__100886_626932","100886","1282__100886_626932-1","p__Terrabacteria group"
"2193","-1","1282__100886_626932","626932","1282__100886_626932-1","p__FCB group"
"2227","1","821__204516","821","821__2045161","p__FCB group"
"2300","-1","821__204516","204516","821__204516-1","p__FCB group"
