features,j_cmi,MIfy
820,0.24171402443274176,0.24171402443274176
821,-0.000457236768801772,0.19506510177703767
46506,0.011064051344991735,0.10869991727788414
40518,0.014564717497069196,0.10785444708674369
818,0.011491549261440512,0.08682133920249896
47678,-0.00013029203870890127,0.06923956020004257
46228,0.013531451273981789,0.06148398300432889
360807,-0.0007985484065949136,0.048202338724782245
546,0.0026266903911455683,0.04713768878270891
1351,0.008251342622164586,0.044015115712091546
329,0.012628281340355985,0.04199028173475655
550,0.014357974808885385,0.04099419354622935
338188,0.011835815080931882,0.04099419354622935
1352,0.01367098925217278,0.04099419354622935
1747,0.02570482979349259,0.03951982376319385
45851,-0.0003612296059497498,0.026846853634752532
1680,-0.0007853818107380756,0.025184118239741815
823,-0.0005938899365179641,0.024090800502057808
28111,-0.0009172206934261982,0.024090800502057808
573,-0.0011001040902405383,0.024090800502057808
387090,0.004929125214287507,0.021408715649183563
1283,0.0065712010073815125,0.021408715649183563
674529,0.00899798665379329,0.02088082903280608
33038,0.011564877178317667,0.01983334751923166
40520,0.006911039723972659,0.01983334751923166
1582,0.005780751595011782,0.01983334751923166
1282,0.014168692322814574,0.01983334751923166
1304,0.011621690686116622,0.01983334751923166
328812,0.010168880096193822,0.01983334751923166
154046,0.008056596633354033,0.019313695062881553
40324,0.009045593215310191,0.019313695062881553
665950,0.007457128180053459,0.018796730512755322
48296,0.013388815388222619,0.018796730512755322
72556,0.011247983058767789,0.018796730512755322
1070699,0.011182850398039226,0.018796730512755322
1358,-0.0013226106585892154,0.0011078601853827252
1318,-0.0013644136475138048,0.0011078601853827252
626932,-0.0009626753057134629,0.0011078601853827252
158836,-0.0009844132075170287,0.0011078601853827252
410072,0.00013729240762203466,0.0011078601853827252
584,-0.0010248589191701961,0.0011078601853827252
28126,-0.0009118537441651523,0.0005524973069488959
626933,-0.001358154382121866,0.0005524973069488959
47770,-0.0019150908506937914,0.0005524973069488959
147802,-0.0019056511173604646,0.0005524973069488959
43765,-0.0019311002928304281,0.0005524973069488959
665951,-0.0019073078640895287,0.0005524973069488959
29382,-0.0013482729371629967,0.0005524973069488959
582,-0.0012940790550254187,0.0005524973069488959
376804,-0.0012656968191547327,0.0005524973069488959
291645,8.343537704135823e-05,0.0005524973069488959
28130,-0.0013249545926345382,0.0005524973069488959
454155,0.0001123373219136849,0.0005524973069488959
322095,9.838465887187202e-05,0.0005524973069488959
457412,-0.0008498831067875275,0.0005524973069488959
552398,-0.0007154925668609879,0.0005524973069488959
39486,-0.0007404247896714803,0.0005524973069488959
1623,-0.0010368756400707586,0.0005524973069488959
147207,-0.000782240570719615,0.0005524973069488959
28125,-0.0009515431412288023,0.0005524973069488959
1354,-0.0008417711508854593,0.0005524973069488959
1286,-0.0008741220009095478,0.0005524973069488959
624,-0.000908050941178714,0.0005524973069488959
1260,-0.0009252225043791106,0.0005524973069488959
1689,-0.001893993518865837,0.0005524973069488959
