,D001289,D006262,accuracy,macro avg,weighted avg
precision,0.8,0.85,0.83,0.83,0.83
recall,0.76,0.88,0.83,0.82,0.83
f1-score,0.78,0.87,0.83,0.82,0.83
support,111.0,176.0,0.83,287.0,287.0
