,D001327,D006262,accuracy,macro avg,weighted avg
precision,0.68,0.7,0.69,0.69,0.69
recall,0.71,0.67,0.69,0.69,0.69
f1-score,0.7,0.68,0.69,0.69,0.69
support,1170.0,1170.0,0.69,2340.0,2340.0
