@relation otu_table.xls.balance
@attribute 820__39492 numeric
@attribute 39485__546_357276 numeric
@attribute 818__310297 numeric
@attribute 328814__28117_301301 numeric
@attribute 33039__751585 numeric
@attribute 33043__218538 numeric
@attribute 296__116085_371601 numeric
@attribute 817__28116_239935 numeric
@attribute 1747__204516 numeric
@attribute 1118061__562_821 numeric
@attribute 74426__328813_338188 numeric
@attribute 1282__550_571 numeric
@attribute 546__357276 numeric
@attribute 28117__301301 numeric
@attribute 1283__28111 numeric
@attribute 562__821 numeric
@attribute 28116__239935 numeric
@attribute 376804__363265_487174 numeric
@attribute 1680__246787 numeric
@attribute 40214__147802 numeric
@attribute 28130__47770 numeric
@attribute 1260__100886_487173 numeric
@attribute 29382__626933 numeric
@attribute 40324__46228 numeric
@attribute 291645__545_54291 numeric
@attribute 322095__1078764 numeric
@attribute 291644__384638 numeric
@attribute 214856__387090 numeric
@attribute 328813__338188 numeric
@attribute 1304__1363 numeric
@attribute 1735__40545_329854 numeric
@attribute 39488__40518_46503 numeric
@attribute 1286__469613_626940 numeric
@attribute 550__571 numeric
@attribute 363265__487174 numeric
@attribute 40520__1358_88431 numeric
@attribute 454155__287_387661 numeric
@attribute 166486__39491_46506 numeric
@attribute 154046__853_47678 numeric
@attribute 1270__573_310298 numeric
@attribute 1689__658089 numeric
@attribute 1354__28025 numeric
@attribute 116085__371601 numeric
@attribute 158836__454154 numeric
@attribute 1408__552398 numeric
@attribute 39496__43765 numeric
@attribute 328812__626930 numeric
@attribute 28026__29361 numeric
@attribute 2173__626929 numeric
@attribute 1590__626932 numeric
@attribute 1582__487175 numeric
@attribute 1318__53345 numeric
@attribute 40519__749535 numeric
@attribute 197__410072 numeric
@attribute 103892__501496 numeric
@attribute 76759__303_674529 numeric
@attribute 411489__754333 numeric
@attribute 545__54291 numeric
@attribute 147207__329_1531 numeric
@attribute 40518__46503 numeric
@attribute 261299__33038_216816 numeric
@attribute 100886__487173 numeric
@attribute 40545__329854 numeric
@attribute 1358__88431 numeric
@attribute 569__1351_1352 numeric
@attribute 624__45851_102862 numeric
@attribute 729__1681 numeric
@attribute 853__47678 numeric
@attribute 573__310298 numeric
@attribute 303__674529 numeric
@attribute 469613__626940 numeric
@attribute 582__584_165179 numeric
@attribute 329__1531 numeric
@attribute 287__387661 numeric
@attribute 28125__823_360807 numeric
@attribute 45851__102862 numeric
@attribute 39491__46506 numeric
@attribute 33038__216816 numeric
@attribute 584__165179 numeric
@attribute 1351__1352 numeric
@attribute 823__360807 numeric
@attribute Disease.MESH.ID {'D001327', 'D006262'}
@data
0.0,-3.09280686497153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.86089529590117,0.0,0.0,5.356898628128509,0.0,0.0,6.6872668152045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D006262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.593682336715209,0.0,0.0,0.0,0.0,0.0,1.0282879707469599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.81619937968518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D006262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02257110479797,-3.6971695560405498,0.0,0.0,0.0,0.0,0.0,6.403685515259101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D006262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.54471555583878,0.0,0.0,0.0,0.0,0.0,6.13962744109251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.39787620285213,0.0,0.0,0.0,0.0,0.0,0.0,5.8852942211691,0.0,0.0,D001327
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8837630974047594,0.0,0.0,0.0,0.0,0.0,6.72687500926612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54264752196477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.03562621539334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.25785883784929,0.0,D006262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7105096120706498,0.0,0.0,0.0,0.0,0.0,6.42679117007906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D006262
0.0,-3.8592136324113198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68435408859885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D001327
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.49303615596548,0.0,0.0,0.0,0.0,0.0,2.58601447966954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.84942300987677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611854295130009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.66739623293128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D006262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54146799686667,0.0,0.0,0.0,0.0,0.0,2.6699008888145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9347744496652903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.815229263144151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D001327
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7299908690991,-3.8478585157503,0.0,0.0,0.0,0.0,0.0,6.66468644961609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4417851332316203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.62193962939026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22929591192351,0.0,0.0,0.0,0.0,0.0,2.80928184491337,0.0,D006262
