,D001327,D006262,accuracy,macro avg,weighted avg
precision,0.77,0.77,0.77,0.77,0.77
recall,0.77,0.77,0.77,0.77,0.77
f1-score,0.77,0.77,0.77,0.77,0.77
support,187.0,187.0,0.77,374.0,374.0
