,D006262,D037841,accuracy,macro avg,weighted avg
precision,0.69,0.71,0.7,0.7,0.7
recall,0.55,0.82,0.7,0.68,0.7
f1-score,0.61,0.76,0.7,0.69,0.7
support,44.0,61.0,0.7,105.0,105.0
