,D006262,D007676,accuracy,macro avg,weighted avg
precision,0.76,0.81,0.78,0.79,0.79
recall,0.83,0.73,0.78,0.78,0.78
f1-score,0.79,0.77,0.78,0.78,0.78
support,30.0,30.0,0.78,60.0,60.0
