"","397865__40519_40520","820__28117_45851","28116__818_84030","853__47246","817__187327","46503__1515_328813","39485__29466_166486","39488__1335_84032","46506__261299","1496__28118","36847__1735_291645","823__1624","214856__1465754","28111__1264_84026","1596__310297","28117__45851","1195760__1308_28129","39492__197614","40518__357276_1755626","165179__371601","29348__39491_246787","1630__321327","33043__437898","1584__487175","33031__33959","228603__1124188","341225__454154","35785__52226","1605__264027","40519__40520","301302__309120","1515__328813","218538__650643","840__472113","88431__204516_328814","633701__1297750","357276__1755626","1559__308994_626937","1264__84026","29466__166486","1335__84032","1735__291645","1308__28129","818__84030","28135__180311_310298","204516__328814","1307__821_1304","39491__246787","308994__626937","180311__310298","821__1304"
"SRR5711560",5.0866854878885,2.98782551489239,0,0,0,2.32211654559705,-2.29920336921625,0,0,0,0,0,0,-2.37449350968576,0,4.2202282378926,0,0,-2.85635172736996,0,0,0,0,0,0,0,0,0,0,0,0,4.31257997609538,0,0,0,0,-4.9473463160919,0,4.11274340101828,-3.98233705241608,0,0,0,0,0,0,-3.18276241550404,0,0,0,5.51270621207364
"SRR5711561",4.65520575536708,2.80456960764597,-2.19204096391024,4.64138731143948,0,0,0,0,4.03077734004982,-3.87370741441008,0,0,0,0,0,4.97247706148367,0,0,0,0,0,0,0,0,0,0,0,0,5.03921228084046,0,0,0,0,0,0,-4.47343175546347,0,0,0,0,0,0,0,3.7967263217648,0,0,0,0,0,0,0
"SRR5711562",0,0,-2.61661322175718,0,4.55751371580594,0,0,0,0,-4.23380168239175,5.15670177313596,4.903367147355,0,0,0,0,0,0,0,0,5.06604803002867,0,0,-4.17470485943986,4.02092918275054,0,0,0,0,0,0,0,0,0,0,-5.16900224115419,0,0,0,0,0,0,0,4.53210704383992,0,0,0,0,0,0,0
"SRR5711563",6.39512311793098,6.20853195824887,4.55774215749449,0,0,-3.33575168690153,0,0,0,0.901610486116084,0,0,0,0,0,0,0,0,0,-4.99755504072298,0,0,0,0,0,0,0,0,0,0,0,-5.77769140314703,0,0,-2.32474117230968,0,0,0,0,0,0,0,0,0,-2.6209844052714,-4.0265698248876,0,0,0,4.53967815577576,0
"SRR5711564",0,0,5.40694858039061,0,0,0,2.2191293374028,0,-4.71347043236815,0,0,0,0,0,0,0,0,0,-2.51489349763219,-4.64726025658738,0,0,-4.33868786309611,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.35592331352356,0,0,5.0100661076661,0,0,0,0,0,0,-5.78390963377637,0,0,0,1.29938149234229
"SRR5711565",0,0,5.21284193770387,0,4.74718183210114,0,0,0,0,0,0,-0.669752770862428,0,0,5.66839095832918,0,0,0,-5.60450480901027,0,0,0,0,4.28725801694867,0,0,0,0,0,0,0,0,0,0,0,0,0.99022159189813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5711566",5.1235029198101,6.0361671206678,0,0,4.62354868182075,6.03871522399746,0,0,0,0,-2.82806616671674,0,0,0,0,0,0,0,-2.47481818110936,-4.82186590080987,-5.17890254029696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.2865108291766,0,0,0,0,-4.89835428791995,0,0,0,0,0,0.405646344852189,0,0,0
"SRR5711567",4.75150482425702,2.83370067477529,0,4.51211815679462,0,0,0,0,0,0,0,0,-4.28258464340963,0,0,4.36970928185664,0,0,-2.76110578054647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.54075441931842,0,-4.94398911382065,4.78237549697861,-2.32082582476804,0,0,0,0,0,0,0,0,0,0,-4.01978824401619,0,0
"SRR5711568",0,0,0,0,-4.22768399468884,0,-3.13279793569564,1.49378157597841,0,0,0,0,0,-2.34856583439509,0,0,-2.46720233268304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19254009232969,0,0,-4.13893789186232,0,0,-4.06783535009269,5.42616519447175,5.70618261623819,0,4.27331979275947,0,-2.39582647212096,0,0,0,0,4.149693175832,0
"SRR5711569",0,2.27795987307327,0,1.03168294660618,0,0,0,0,0,0,0,0,0,-2.65079216762862,0,4.61782681193316,0,0,-2.83314313647246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48595425404546,-4.53056545895511,4.90714785748534,0,-4.59130671463841,0,0,0,0,0,0,-4.30579907329873,-2.90873552826342,0,0,0,-5.03807772073294
"SRR5711570",0,0,-2.65965996578826,3.78990012265477,5.18285590557355,0,0,0,0,0,-3.0800120282223,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78913444023385,0,0,0,0,0,0,0,0,0,0,-5.54706181001565,0,0,0,0,0,-5.33473732080429,0,-4.60666619160217,-2.38112888262498,0,0,0,0,4.12423620407617,0
"SRR5711571",0,3.39606085397458,0,5.17193446537406,0,0,0,0,0,0,0,0,0,0,0,4.36481489802706,0,0,-2.73729478351882,0,0,0,0,0,0,0,0,-3.7513655512514,-3.71384059760823,0,4.46434844910973,0,0,0,-2.25786384748349,-5.50761405131131,4.74113364034784,0,0,0,0,0,0,0,0,-3.91073490041435,0,0,0,0,0
"SRR5711572",0,0,0,1.2639767133166,0,0,0,0,0,0,0,0,3.74829624109039,-2.21353275310396,0,0,0,0,-2.69783489131225,0,0,0,0,0,0,0,0,0,0,0,3.75647309712234,0,4.09844364650438,0,0,-5.49762011637186,4.67278710218488,0,-3.83395119259387,0,0,0,0,0,-2.33495818980063,0,0,0,0,4.04426621828374,0
"SRR5711573",0,4.92502543754788,0,0,0,0,0,0,-4.04851198575488,0,0,0,0,0,-4.09950418050294,0,0,0,-2.8633170302246,0,-2.46318166967728,0,0,0,0,4.26095080925847,0,0,0,0,0,0,0,5.34806569288969,0,0,-4.95941057452624,0,0,0,0,0,0,0,-2.3740517878224,0,-3.04131439805508,4.26635580015338,0,-4.11197831630813,5.26771105922215
"SRR5711574",0,0,0,0,0,-2.63290415972285,0,0,0,0,0,4.77367631275751,-4.91133065929289,-2.80281914860656,0,0,0,0,-5.76581484052796,0,0,4.44533033715935,0,0,0,0,0,0,0,0,0,-4.56032377609943,0,0,0,0,-0.396103450704374,0,4.85462516981351,0,0,0,0,0,0,0,-2.44057932331364,0,0,0,4.22720738788129
"SRR5711575",0,3.71062221285229,0,0,0,5.2758448336655,0,0,0,0,0,4.52643505072316,0,0,0,4.34437552593142,0,0,-5.33807933901689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349563470649639,0,0,0,0,0,0,0,0,0,-1.13934759276681,0,0,0,0.434295398109184
"SRR5711576",2.51251963661428,2.98203664285117,0,-5.00553019918555,0,0,0,0,0,0,0,0,0,0,0,4.28689845223618,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.41033949919821,0,0,0,0,-2.66098911698605,-4.98690637247162,0,-2.43394649710005,0,0,0,0,0,0,0,-4.60896834900769,0,0,-4.21571899588159,0,0
"SRR5711577",0,5.70481463793902,0,4.4325365833913,0,-5.51140264050192,0,0,0,0,0,4.59783234955162,0,0,0,0,0,0,0,0,4.768334616647,0,0,0,0,0,0,0,0,0,0,-0.998801258711906,0,0,-3.19153068973396,-4.55689676727984,0,0,0,0,0,0,0,0,-2.38857725148927,-5.52789330853456,0,0,0,4.13713715738265,0
"SRR5711578",0,5.1632289858051,0,0,-5.13180705122638,0,0,0,-4.15892275487639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4499490321888,-5.65661118389447,1.98712441899106,-5.38057002201779,0,0,0,0,0,0,0,0,0,-4.92647401988662,-2.19113327011938,0,0,0,-3.7951541500013
"SRR5711579",0,5.42418725823936,-5.4298599569739,4.52920392102611,4.16849171988657,0,0,-2.44781014201578,0,0,0,0,0,0,0,0,0,0,-2.76907560098839,5.85252281582918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80036079785079,0,4.79617963091121,0,0,0,4.23973153325372,0,0,0.924691431409323,0,-4.85036718140169,0,0,0,0,0
"SRR5711580",0,5.53651141690599,4.52468457762527,0,-3.87773494909856,0,4.89771225694365,0,0,0,0,0,0,0,0,0,0,5.05514892460279,-2.32896664290379,0,-2.43440551544893,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11902130655413,0,-4.03388855464248,0,0,0,0,0,0,0,0,5.40230337284162,-2.91881405075626,-4.21651403898345,0,0,5.05553423375577
"SRR5711581",5.89217309619426,5.68957819237508,0,0,0,-2.32312353189124,0,0,0,0,0,0,0,0,0,0,0,0,-0.479441149700642,0,0,0,0,0,0,0,0,0,0,0,0,4.02376798949449,0,0,0,0,0.893817633294019,3.0312150108968,0,0,0,0,0,0,0,0,0,0,-4.09779861939832,0,0
"SRR5711582",0,3.33944234986231,4.85305897287501,0,0,-2.49658520453125,4.83366813408757,0,0,0,0,0,0,0,0,4.15013278790946,0,0,-2.91511968605646,0,0,0,0,0,0,0,0,0,0,0,0,4.32421241967287,0.166973613257821,0,0,0,-5.04913540639402,0,0,0,0,0,0,0,0,0,-3.28439871359491,0,0,0,5.68874544426025
"SRR5711583",5.32653715301777,2.73097742762395,0,0,-4.31748689309267,0,0,0,0,0,0,0,0,0,0,4.2936614817835,0,0,-2.72648530561186,0,0,0,4.15263612744443,0,0,0,0,0,0,0,0,0,0,0,-3.00907977372219,0,-4.72241107540969,0,0,0,0,0,0,0,0,5.21187905211469,-3.21316150454148,0,0,0,5.5653589787903
"SRR5711584",0,4.85060812392518,0,0,0,0,0,0,0.523602757159381,0,0,4.38178465249254,0,0,0,0,0,4.5380038620088,0,5.36037091205689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07043801779923,0,0,0,0,0,0,0,0,0,0,5.31815464831933,-2.58183519444074,0,0,0,4.47186973354083
"SRR5711585",0,3.00961096458666,2.62521314389672,0,-3.83837814040105,0,4.64534279111044,0,0,0,0,4.75824531542318,0,0,0,3.85449859544695,0,0,-2.71250334497956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.69819360920513,0,0,0,0,0,0,3.79567690461039,0,0,-3.26347866465986,0,0,0,5.65251085660792
"SRR5711586",4.98567327209635,2.88902922977613,0,0,0,5.23470962730003,0,0,-0.199727529595137,0,0,0,0,0,0,4.4931236962076,0,0,-2.87672003875675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.9826252662782,0,0,0,0,0,0,0,0,0,-5.65171324690352,0,0,0,1.27850691092955
"SRR5711587",5.17777918803159,-2.72527185035175,0,0,0,-2.87817162468861,0,0,0,0,0,4.68981815345687,0,0,0,4.72030930924648,0,4.16148293296374,-0.641641381929713,0,0,0,0,0,0,0,0,0,0,0,0,-4.98513948686373,0,0,0,0,0.757088154551247,-2.5071734688086,0,0,0,0,0,0,0,0,0,0,-4.34255183136519,0,0
"SRR5711588",0,2.74330449190638,4.41851893859068,0.625989582943661,0,0,0,0,0,0,0,0,0.951190476555623,0,0,4.49666811744277,0,3.95215611934219,0,-3.82037911585667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5711589",0,3.77025461935564,0,0,0,0,0,-2.62070304205538,0,0,0,0,0,0,0,3.96327079541694,-2.5100745423742,0,2.28803423055392,0,-2.46517148409934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.21152292708299,0,0,0,-4.53919082039023,0,-4.34757663817731,0,0,0,-2.95129078933024,4.26980225983003,0,0,5.11178559503003
