,D006262,D050177,accuracy,macro avg,weighted avg
precision,0.58,0.63,0.6,0.61,0.61
recall,0.71,0.5,0.6,0.6,0.6
f1-score,0.64,0.56,0.6,0.6,0.6
support,137.0,137.0,0.6,274.0,274.0
