,D003863,D006262,accuracy,macro avg,weighted avg
precision,0.5,0.63,0.6,0.57,0.58
recall,0.32,0.79,0.6,0.55,0.6
f1-score,0.39,0.7,0.6,0.55,0.58
support,791.0,1170.0,0.6,1961.0,1961.0
