"","820__39485","216816__363265","573__33038_166486","39492__46506_204516","28117__328814","29361__28116_1118061","33038__166486","853__40518","218538__47678_487174","52226__487173","626930__469588_626929","674529__821_39491","214856__626940_751585","33039__33043","46506__204516","457394__823_246787","850__437898","654__548_729","28116__1118061","46228__387090","29466__818_46503","154046__208479_239935","821__39491","47678__487174","546__1304","329854__310297_328813","626940__751585","411489__310298_360807","487175__626932","39486__39488","823__246787","548__729","1308__97478","1535__454154","550__658089","39777__658081","905__88431","469610__28026_40545","469588__626929","1685__28111_371601","410072__457412_469592","47770__74426","818__46503","1352__562_357276","291644__28118_338188","208479__239935","310297__328813","40519__454155","310298__360807","33945__1624_301301","28111__371601","28026__40545","28118__338188","562__357276","491921__1680_165179","457412__469592","1624__301301","1680__165179"
"SRR5091453",-4.20679082468225,0,-2.3180946701473,0,0,0,-4.01505774544974,3.9468022862795,0,0,0,0,0,0,0,0,0,0,0,0,-2.33718009863692,0,0,0,0,2.27965133127071,0,-5.14223414872443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.04811467727799,0,0,0,4.74921292910419,0,0.980219111105759,0,0,0,0,0,-3.75446549658673,0,0,-6.50292499535252
"SRR5091454",4.96344886723486,0,0,-6.30616206388371,0,-2.78594213753819,0,4.2308426398574,0,0,0,2.12565770578693,0,0,-0.214889512803806,0,0,0,4.82539332916319,0,0,0,4.94533699483696,0,0,0,0,-2.45401146372603,0,0,0,0,0,0,0,0,0,0,0,-3.36623562172606,0,0,0,0,0,0,0,0,-4.25047253752995,0,5.83049112707775,0,0,0,0,0,0,0
"SRR5091455",-5.31471655144899,0,0,-2.67086661250059,4.62878056801947,-2.5550147526366,0,4.84665973360301,0,0,0,0,0,0,4.62607667309041,0,0,0,-4.42541536565463,0,0,0,0,0,0,-2.57559687424471,0,-3.27031913172537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8083942377166,0,4.46106464600743,0,5.66435889311288,0,0,0,-4.86428150740882,0,-2.68324931098282,0,0,4.64752413599643
"SRR5091456",4.60247341346328,0,0,-2.78410809805395,4.55448260685916,0,0,4.70997458083769,-2.77611457864273,0,0,0,0,0,4.82221667959339,0,0,0,0,0,-2.2561311454663,0,0,4.80837149784188,0,-2.39750392425116,0,-3.5927136328206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.90773377248621,-2.8087340344341,0,0,-4.15259860814877,0,6.22276254909064,0,0,0,0,-4.86487005258777,0,0,0,0
"SRR5091457",5.85525000116917,5.5624638405977,0,-2.51826950919183,0,0,0,3.77801408902931,0,0,0,0,0,0,4.36177073707179,0,0,0,0,0,-3.29121502326506,-0.18796243219069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70055163892907,0,0,-0.488514533159639,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5091458",0,0,0,0,4.69469393197419,-2.20491999797314,0,3.43097789195639,0,0,0,0,0,0,0,0,0,0,3.81903346311414,0,-2.10841751736954,0,0,0,0,-2.68561681185921,0,-2.55246546114627,0,0,0,0,0,0,0,0,0,0,0,-2.24245292115667,0,0,-3.65188626365229,0,0,0,4.65162476780129,0,4.42099986327007,0,3.88404239302459,0,0,0,-3.79901759451062,0,0,-6.5800914925405
"SRR5091459",0,4.4861538476329,-6.27045796237908,-5.82361093047533,0,0,-0.868422789702022,0,0,0,0,-2.74063855704416,0,0,0.298603359482751,0,0,-2.36188297146116,0,0,0,0,4.74692522598274,0,0,0,0,-5.9693764487708,0,0,0,-4.09090130810247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2348122850623,0,0,0,0,0,0,0,0,0
"SRR5091460",-5.33868442449473,0,0,0,0.126456142839905,-2.45617194729129,0,5.66455022893069,0,0,0,-5.52574366600658,0,0,0,0,0,0,4.25421460483391,4.71700981040615,0,0,0.87696181962964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80792348163878,0,0,0,0,0,0,0,0,0,0,4.86346613396407,0,0,0,0,0,0,0
"SRR5091461",-5.44152964988707,0,-2.94183591958755,0,0,0,-5.09540928025675,0.066541677834382,0,0,-3.24179122400838,0,0,0,0,0,0,0,0,3.92651609220263,0,0,0,0,0,-2.76681168950545,0,0,0,0,0,0,0,0,0,0,0,0,5.61494710751342,-2.62461959519766,0,0,0,-2.56373865632102,0,0,-4.79225842119892,0,0,0,-4.5459744894232,0,0,-4.44052561007637,0,0,0,0
"SRR5091462",0,-5.15181760414536,0,-2.61300298487839,4.95967857941947,0,0,4.70122123331702,0,0,0,0,-2.52430044898765,0,-4.52585393013849,0,0,0,0,0,-2.32064045591145,0,0,0,0,-2.36296968173007,4.37221663121554,0,0,0,0,0,0,0,0,0,0,-2.37325487886106,0,0,0,0,-4.01946717573843,0,0,0,-4.09278354550135,0,0,0,0,-4.11059802949807,0,0,-3.50387685872935,0,0,-6.06889274278407
