,D001172,D006262,accuracy,macro avg,weighted avg
precision,0.67,0.65,0.66,0.66,0.66
recall,0.62,0.69,0.66,0.66,0.66
f1-score,0.65,0.67,0.66,0.66,0.66
support,96.0,96.0,0.66,192.0,192.0
